2014 WA Senate Election Senate First Preferences By Polling Place for Division 238 [Event:17875 Phase:FinalResults Generated:2014-05-28T13:16:56 Cycle:b2873105-897b-4558-a9e2-d17a83d40911 Created:2014-05-28T11:03:19 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.9.16053]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
WA,238,Curtin,7591,City Beach,A,25423,0,A Ticket Votes,The Wikileaks Party,5
WA,238,Curtin,7591,City Beach,A,25312,1,"MESZAROS, Tibor",The Wikileaks Party,1
WA,238,Curtin,7591,City Beach,A,25313,2,"NICOL, Lucy",The Wikileaks Party,0
WA,238,Curtin,7591,City Beach,B,25418,0,B Ticket Votes,The Nationals,13
WA,238,Curtin,7591,City Beach,B,25334,1,"VAN STYN, Shane",The Nationals,2
WA,238,Curtin,7591,City Beach,B,25335,2,"DE GRUSSA, Colin Stephen",The Nationals,0
WA,238,Curtin,7591,City Beach,C,25408,0,C Ticket Votes,,10
WA,238,Curtin,7591,City Beach,C,25356,1,"WOOLF, Russell",,7
WA,238,Curtin,7591,City Beach,C,25357,2,"JAMES, Verity",,0
WA,238,Curtin,7591,City Beach,D,25404,0,D Ticket Votes,Australian Democrats,2
WA,238,Curtin,7591,City Beach,D,25280,1,"FERNANDEZ, Chris",Australian Democrats,0
WA,238,Curtin,7591,City Beach,D,25281,2,"THIEL, William",Australian Democrats,0
WA,238,Curtin,7591,City Beach,E,25391,0,E Ticket Votes,Pirate Party,4
WA,238,Curtin,7591,City Beach,E,25296,1,"BOYD, Fletcher",Pirate Party,0
WA,238,Curtin,7591,City Beach,E,25297,2,"ALLEN, Michelle",Pirate Party,0
WA,238,Curtin,7591,City Beach,F,25394,0,F Ticket Votes,Australian Labor Party,116
WA,238,Curtin,7591,City Beach,F,25328,1,"BULLOCK, Joe",Australian Labor Party,3
WA,238,Curtin,7591,City Beach,F,25329,2,"PRATT, Louise",Australian Labor Party,12
WA,238,Curtin,7591,City Beach,F,25330,3,"HILL, Shane",Australian Labor Party,0
WA,238,Curtin,7591,City Beach,F,25331,4,"ANDRIC, Klara",Australian Labor Party,1
WA,238,Curtin,7591,City Beach,G,25409,0,G Ticket Votes,Australian Motoring Enthusiast Party,1
WA,238,Curtin,7591,City Beach,G,25342,1,"HOWLETT, Richie",Australian Motoring Enthusiast Party,0
WA,238,Curtin,7591,City Beach,G,25343,2,"ZANDVLIET, Rob",Australian Motoring Enthusiast Party,0
WA,238,Curtin,7591,City Beach,H,25403,0,H Ticket Votes,Freedom and Prosperity Party,0
WA,238,Curtin,7591,City Beach,H,25338,1,"KOUTALIANOS, Bill",Freedom and Prosperity Party,0
WA,238,Curtin,7591,City Beach,H,25339,2,"ASHBY, Leon",Freedom and Prosperity Party,0
WA,238,Curtin,7591,City Beach,I,25396,0,I Ticket Votes,Voluntary Euthanasia Party,5
WA,238,Curtin,7591,City Beach,I,25324,1,"NITSCHKE, Philip",Voluntary Euthanasia Party,1
WA,238,Curtin,7591,City Beach,I,25325,2,"DUFFIELD, Jim",Voluntary Euthanasia Party,0
WA,238,Curtin,7591,City Beach,J,25422,0,J Ticket Votes,Liberal Democrats,20
WA,238,Curtin,7591,City Beach,J,25318,1,"FRYAR, Jim",Liberal Democrats,1
WA,238,Curtin,7591,City Beach,J,25319,2,"HAMILTON, Neil",Liberal Democrats,0
WA,238,Curtin,7591,City Beach,K,25392,0,K Ticket Votes,Australian Voice Party,1
WA,238,Curtin,7591,City Beach,K,25290,1,"PARKES, Brian W",Australian Voice Party,1
WA,238,Curtin,7591,City Beach,K,25291,2,"BUTLER, Sean",Australian Voice Party,0
WA,238,Curtin,7591,City Beach,L,25402,0,L Ticket Votes,Building Australia Party,0
WA,238,Curtin,7591,City Beach,L,25344,1,"BEZANT, Ken",Building Australia Party,0
WA,238,Curtin,7591,City Beach,L,25345,2,"SMEE, Daniel Ross",Building Australia Party,0
WA,238,Curtin,7591,City Beach,M,25406,0,M Ticket Votes,Mutual Party,0
WA,238,Curtin,7591,City Beach,M,25352,1,"FELS, Anthony James",Mutual Party,0
WA,238,Curtin,7591,City Beach,M,25353,2,"CHANDRA, Felly",Mutual Party,0
WA,238,Curtin,7591,City Beach,N,25400,0,N Ticket Votes,Family First Party,2
WA,238,Curtin,7591,City Beach,N,25336,1,"ROSE, Linda",Family First Party,0
WA,238,Curtin,7591,City Beach,N,25337,2,"HENG, Henry",Family First Party,0
WA,238,Curtin,7591,City Beach,O,25397,0,O Ticket Votes,#Sustainable Population Party,4
WA,238,Curtin,7591,City Beach,O,25354,1,"STRACHAN, Peter",#Sustainable Population Party,2
WA,238,Curtin,7591,City Beach,O,25355,2,"BOURKE, William",#Sustainable Population Party,0
WA,238,Curtin,7591,City Beach,P,25410,0,P Ticket Votes,Palmer United Party,50
WA,238,Curtin,7591,City Beach,P,25284,1,"WANG, Zhenya",Palmer United Party,2
WA,238,Curtin,7591,City Beach,P,25285,2,"HEADLAND, Desmond John",Palmer United Party,0
WA,238,Curtin,7591,City Beach,P,25286,3,"TERBLANCHE, Chamonix",Palmer United Party,2
WA,238,Curtin,7591,City Beach,Q,25413,0,Q Ticket Votes,Australian Sports Party,5
WA,238,Curtin,7591,City Beach,Q,25326,1,"DROPULICH, Wayne",Australian Sports Party,0
WA,238,Curtin,7591,City Beach,Q,25327,2,"LACKOVIC, Al",Australian Sports Party,0
WA,238,Curtin,7591,City Beach,R,25395,0,R Ticket Votes,Liberal,980
WA,238,Curtin,7591,City Beach,R,25298,1,"JOHNSTON, David",Liberal,14
WA,238,Curtin,7591,City Beach,R,25299,2,"CASH, Michaelia",Liberal,1
WA,238,Curtin,7591,City Beach,R,25300,3,"REYNOLDS, Linda",Liberal,1
WA,238,Curtin,7591,City Beach,R,25301,4,"BROCKMAN, Slade",Liberal,0
WA,238,Curtin,7591,City Beach,S,25419,0,S Ticket Votes,Shooters and Fishers,3
WA,238,Curtin,7591,City Beach,S,25316,1,"BOW, Murray",Shooters and Fishers,0
WA,238,Curtin,7591,City Beach,S,25317,2,"PARKES, John",Shooters and Fishers,0
WA,238,Curtin,7591,City Beach,T,25398,0,T Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,9
WA,238,Curtin,7591,City Beach,T,25294,1,"MOYLAN, James M",Help End Marijuana Prohibition (HEMP) Party,2
WA,238,Curtin,7591,City Beach,T,25295,2,"MOYLAN, Tayla",Help End Marijuana Prohibition (HEMP) Party,0
WA,238,Curtin,7591,City Beach,U,25399,0,U Ticket Votes,Republican Party of Australia,1
WA,238,Curtin,7591,City Beach,U,25350,1,"ANDERSON, Marcus",Republican Party of Australia,0
WA,238,Curtin,7591,City Beach,U,25351,2,"HOLLICK, Rohan",Republican Party of Australia,0
WA,238,Curtin,7591,City Beach,V,25416,0,V Ticket Votes,Smokers Rights,0
WA,238,Curtin,7591,City Beach,V,25320,1,"KATZ-BARBER, Max",Smokers Rights,0
WA,238,Curtin,7591,City Beach,V,25321,2,"DI RADO, Daniel Jay",Smokers Rights,0
WA,238,Curtin,7591,City Beach,W,25417,0,W Ticket Votes,Australian Fishing and Lifestyle Party,0
WA,238,Curtin,7591,City Beach,W,25346,1,"McCARTHY, Daniel",Australian Fishing and Lifestyle Party,0
WA,238,Curtin,7591,City Beach,W,25347,2,"WYATT, Suzzanne",Australian Fishing and Lifestyle Party,0
WA,238,Curtin,7591,City Beach,X,25401,0,X Ticket Votes,Australian Christians,6
WA,238,Curtin,7591,City Beach,X,25292,1,"MORAN, Ray",Australian Christians,2
WA,238,Curtin,7591,City Beach,X,25293,2,"MOSELEY, Justin",Australian Christians,0
WA,238,Curtin,7591,City Beach,Y,25415,0,Y Ticket Votes,Secular Party of Australia,0
WA,238,Curtin,7591,City Beach,Y,25332,1,"CUTHBERT, Simon Andrew",Secular Party of Australia,0
WA,238,Curtin,7591,City Beach,Y,25333,2,"THOMPSON, Andrew",Secular Party of Australia,0
WA,238,Curtin,7591,City Beach,Z,25420,0,Z Ticket Votes,Rise Up Australia Party,1
WA,238,Curtin,7591,City Beach,Z,25282,1,"FOREMAN, Jane Elizabeth",Rise Up Australia Party,2
WA,238,Curtin,7591,City Beach,Z,25283,2,"BENNETT, Joanne",Rise Up Australia Party,0
WA,238,Curtin,7591,City Beach,AA,25421,0,AA Ticket Votes,The Greens (WA),200
WA,238,Curtin,7591,City Beach,AA,25304,1,"LUDLAM, Scott",The Greens (WA),29
WA,238,Curtin,7591,City Beach,AA,25305,2,"CUNNINGHAM, Christine",The Greens (WA),0
WA,238,Curtin,7591,City Beach,AA,25306,3,"JAMES, Ian",The Greens (WA),0
WA,238,Curtin,7591,City Beach,AA,25307,4,"STEELE-JOHN, Jordon",The Greens (WA),0
WA,238,Curtin,7591,City Beach,AA,25308,5,"NIELSEN-HARVEY, Sarah",The Greens (WA),0
WA,238,Curtin,7591,City Beach,AA,25309,6,"CULLITY, Judith",The Greens (WA),0
WA,238,Curtin,7591,City Beach,AB,25412,0,AB Ticket Votes,DLP Democratic Labour,1
WA,238,Curtin,7591,City Beach,AB,25340,1,"GOOD, Adrian",DLP Democratic Labour,0
WA,238,Curtin,7591,City Beach,AB,25341,2,"KIERNAN, Cathy",DLP Democratic Labour,0
WA,238,Curtin,7591,City Beach,AC,25411,0,AC Ticket Votes,Katter's Australian Party,0
WA,238,Curtin,7591,City Beach,AC,25348,1,"BOUWMAN, Phillip",Katter's Australian Party,0
WA,238,Curtin,7591,City Beach,AC,25349,2,"HODDINOTT, Susan",Katter's Australian Party,0
WA,238,Curtin,7591,City Beach,AD,25414,0,AD Ticket Votes,Animal Justice Party,8
WA,238,Curtin,7591,City Beach,AD,25302,1,"LOVE, Katrina",Animal Justice Party,1
WA,238,Curtin,7591,City Beach,AD,25303,2,"SUTTON, Alicia",Animal Justice Party,0
WA,238,Curtin,7591,City Beach,AE,25407,0,AE Ticket Votes,Sex Party,5
WA,238,Curtin,7591,City Beach,AE,25314,1,"PATTEN, Fiona",Sex Party,0
WA,238,Curtin,7591,City Beach,AE,25315,2,"COLEMAN, Mark",Sex Party,0
WA,238,Curtin,7591,City Beach,AF,25405,0,AF Ticket Votes,Socialist Alliance,0
WA,238,Curtin,7591,City Beach,AF,25287,1,"BAINBRIDGE, Alex",Socialist Alliance,0
WA,238,Curtin,7591,City Beach,AF,25288,2,"JENKINS, Chris",Socialist Alliance,0
WA,238,Curtin,7591,City Beach,AG,25393,0,AG Ticket Votes,Outdoor Recreation Party (Stop The Greens),1
WA,238,Curtin,7591,City Beach,AG,25322,1,"FISHLOCK, David",Outdoor Recreation Party (Stop The Greens),0
WA,238,Curtin,7591,City Beach,AG,25323,2,"DE LIMA, Joaquim",Outdoor Recreation Party (Stop The Greens),0
WA,238,Curtin,7591,City Beach,UG,25289,1,"VAN LIESHOUT, Teresa",Independent,0
WA,238,Curtin,7591,City Beach,UG,25310,2,"MUBARAK, Kim",Independent,0
WA,238,Curtin,7591,City Beach,ZZ,0,99,INFORMAL,,18
WA,238,Curtin,7592,City Beach North,A,25423,0,A Ticket Votes,The Wikileaks Party,6
WA,238,Curtin,7592,City Beach North,A,25312,1,"MESZAROS, Tibor",The Wikileaks Party,1
WA,238,Curtin,7592,City Beach North,A,25313,2,"NICOL, Lucy",The Wikileaks Party,0
WA,238,Curtin,7592,City Beach North,B,25418,0,B Ticket Votes,The Nationals,8
WA,238,Curtin,7592,City Beach North,B,25334,1,"VAN STYN, Shane",The Nationals,0
WA,238,Curtin,7592,City Beach North,B,25335,2,"DE GRUSSA, Colin Stephen",The Nationals,0
WA,238,Curtin,7592,City Beach North,C,25408,0,C Ticket Votes,,10
WA,238,Curtin,7592,City Beach North,C,25356,1,"WOOLF, Russell",,3
WA,238,Curtin,7592,City Beach North,C,25357,2,"JAMES, Verity",,0
WA,238,Curtin,7592,City Beach North,D,25404,0,D Ticket Votes,Australian Democrats,4
WA,238,Curtin,7592,City Beach North,D,25280,1,"FERNANDEZ, Chris",Australian Democrats,1
WA,238,Curtin,7592,City Beach North,D,25281,2,"THIEL, William",Australian Democrats,0
WA,238,Curtin,7592,City Beach North,E,25391,0,E Ticket Votes,Pirate Party,1
WA,238,Curtin,7592,City Beach North,E,25296,1,"BOYD, Fletcher",Pirate Party,0
WA,238,Curtin,7592,City Beach North,E,25297,2,"ALLEN, Michelle",Pirate Party,0
WA,238,Curtin,7592,City Beach North,F,25394,0,F Ticket Votes,Australian Labor Party,96
WA,238,Curtin,7592,City Beach North,F,25328,1,"BULLOCK, Joe",Australian Labor Party,4
WA,238,Curtin,7592,City Beach North,F,25329,2,"PRATT, Louise",Australian Labor Party,2
WA,238,Curtin,7592,City Beach North,F,25330,3,"HILL, Shane",Australian Labor Party,0
WA,238,Curtin,7592,City Beach North,F,25331,4,"ANDRIC, Klara",Australian Labor Party,0
WA,238,Curtin,7592,City Beach North,G,25409,0,G Ticket Votes,Australian Motoring Enthusiast Party,3
WA,238,Curtin,7592,City Beach North,G,25342,1,"HOWLETT, Richie",Australian Motoring Enthusiast Party,0
WA,238,Curtin,7592,City Beach North,G,25343,2,"ZANDVLIET, Rob",Australian Motoring Enthusiast Party,0
WA,238,Curtin,7592,City Beach North,H,25403,0,H Ticket Votes,Freedom and Prosperity Party,0
WA,238,Curtin,7592,City Beach North,H,25338,1,"KOUTALIANOS, Bill",Freedom and Prosperity Party,0
WA,238,Curtin,7592,City Beach North,H,25339,2,"ASHBY, Leon",Freedom and Prosperity Party,0
WA,238,Curtin,7592,City Beach North,I,25396,0,I Ticket Votes,Voluntary Euthanasia Party,4
WA,238,Curtin,7592,City Beach North,I,25324,1,"NITSCHKE, Philip",Voluntary Euthanasia Party,2
WA,238,Curtin,7592,City Beach North,I,25325,2,"DUFFIELD, Jim",Voluntary Euthanasia Party,0
WA,238,Curtin,7592,City Beach North,J,25422,0,J Ticket Votes,Liberal Democrats,23
WA,238,Curtin,7592,City Beach North,J,25318,1,"FRYAR, Jim",Liberal Democrats,0
WA,238,Curtin,7592,City Beach North,J,25319,2,"HAMILTON, Neil",Liberal Democrats,0
WA,238,Curtin,7592,City Beach North,K,25392,0,K Ticket Votes,Australian Voice Party,0
WA,238,Curtin,7592,City Beach North,K,25290,1,"PARKES, Brian W",Australian Voice Party,0
WA,238,Curtin,7592,City Beach North,K,25291,2,"BUTLER, Sean",Australian Voice Party,0
WA,238,Curtin,7592,City Beach North,L,25402,0,L Ticket Votes,Building Australia Party,0
WA,238,Curtin,7592,City Beach North,L,25344,1,"BEZANT, Ken",Building Australia Party,0
WA,238,Curtin,7592,City Beach North,L,25345,2,"SMEE, Daniel Ross",Building Australia Party,0
WA,238,Curtin,7592,City Beach North,M,25406,0,M Ticket Votes,Mutual Party,1
WA,238,Curtin,7592,City Beach North,M,25352,1,"FELS, Anthony James",Mutual Party,0
WA,238,Curtin,7592,City Beach North,M,25353,2,"CHANDRA, Felly",Mutual Party,0
WA,238,Curtin,7592,City Beach North,N,25400,0,N Ticket Votes,Family First Party,2
WA,238,Curtin,7592,City Beach North,N,25336,1,"ROSE, Linda",Family First Party,0
WA,238,Curtin,7592,City Beach North,N,25337,2,"HENG, Henry",Family First Party,0
WA,238,Curtin,7592,City Beach North,O,25397,0,O Ticket Votes,#Sustainable Population Party,4
WA,238,Curtin,7592,City Beach North,O,25354,1,"STRACHAN, Peter",#Sustainable Population Party,0
WA,238,Curtin,7592,City Beach North,O,25355,2,"BOURKE, William",#Sustainable Population Party,0
WA,238,Curtin,7592,City Beach North,P,25410,0,P Ticket Votes,Palmer United Party,37
WA,238,Curtin,7592,City Beach North,P,25284,1,"WANG, Zhenya",Palmer United Party,1
WA,238,Curtin,7592,City Beach North,P,25285,2,"HEADLAND, Desmond John",Palmer United Party,1
WA,238,Curtin,7592,City Beach North,P,25286,3,"TERBLANCHE, Chamonix",Palmer United Party,0
WA,238,Curtin,7592,City Beach North,Q,25413,0,Q Ticket Votes,Australian Sports Party,4
WA,238,Curtin,7592,City Beach North,Q,25326,1,"DROPULICH, Wayne",Australian Sports Party,1
WA,238,Curtin,7592,City Beach North,Q,25327,2,"LACKOVIC, Al",Australian Sports Party,0
WA,238,Curtin,7592,City Beach North,R,25395,0,R Ticket Votes,Liberal,795
WA,238,Curtin,7592,City Beach North,R,25298,1,"JOHNSTON, David",Liberal,8
WA,238,Curtin,7592,City Beach North,R,25299,2,"CASH, Michaelia",Liberal,3
WA,238,Curtin,7592,City Beach North,R,25300,3,"REYNOLDS, Linda",Liberal,4
WA,238,Curtin,7592,City Beach North,R,25301,4,"BROCKMAN, Slade",Liberal,1
WA,238,Curtin,7592,City Beach North,S,25419,0,S Ticket Votes,Shooters and Fishers,2
WA,238,Curtin,7592,City Beach North,S,25316,1,"BOW, Murray",Shooters and Fishers,0
WA,238,Curtin,7592,City Beach North,S,25317,2,"PARKES, John",Shooters and Fishers,0
WA,238,Curtin,7592,City Beach North,T,25398,0,T Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,8
WA,238,Curtin,7592,City Beach North,T,25294,1,"MOYLAN, James M",Help End Marijuana Prohibition (HEMP) Party,2
WA,238,Curtin,7592,City Beach North,T,25295,2,"MOYLAN, Tayla",Help End Marijuana Prohibition (HEMP) Party,0
WA,238,Curtin,7592,City Beach North,U,25399,0,U Ticket Votes,Republican Party of Australia,0
WA,238,Curtin,7592,City Beach North,U,25350,1,"ANDERSON, Marcus",Republican Party of Australia,0
WA,238,Curtin,7592,City Beach North,U,25351,2,"HOLLICK, Rohan",Republican Party of Australia,0
WA,238,Curtin,7592,City Beach North,V,25416,0,V Ticket Votes,Smokers Rights,0
WA,238,Curtin,7592,City Beach North,V,25320,1,"KATZ-BARBER, Max",Smokers Rights,0
WA,238,Curtin,7592,City Beach North,V,25321,2,"DI RADO, Daniel Jay",Smokers Rights,0
WA,238,Curtin,7592,City Beach North,W,25417,0,W Ticket Votes,Australian Fishing and Lifestyle Party,0
WA,238,Curtin,7592,City Beach North,W,25346,1,"McCARTHY, Daniel",Australian Fishing and Lifestyle Party,0
WA,238,Curtin,7592,City Beach North,W,25347,2,"WYATT, Suzzanne",Australian Fishing and Lifestyle Party,0
WA,238,Curtin,7592,City Beach North,X,25401,0,X Ticket Votes,Australian Christians,3
WA,238,Curtin,7592,City Beach North,X,25292,1,"MORAN, Ray",Australian Christians,0
WA,238,Curtin,7592,City Beach North,X,25293,2,"MOSELEY, Justin",Australian Christians,0
WA,238,Curtin,7592,City Beach North,Y,25415,0,Y Ticket Votes,Secular Party of Australia,1
WA,238,Curtin,7592,City Beach North,Y,25332,1,"CUTHBERT, Simon Andrew",Secular Party of Australia,1
WA,238,Curtin,7592,City Beach North,Y,25333,2,"THOMPSON, Andrew",Secular Party of Australia,0
WA,238,Curtin,7592,City Beach North,Z,25420,0,Z Ticket Votes,Rise Up Australia Party,0
WA,238,Curtin,7592,City Beach North,Z,25282,1,"FOREMAN, Jane Elizabeth",Rise Up Australia Party,0
WA,238,Curtin,7592,City Beach North,Z,25283,2,"BENNETT, Joanne",Rise Up Australia Party,0
WA,238,Curtin,7592,City Beach North,AA,25421,0,AA Ticket Votes,The Greens (WA),193
WA,238,Curtin,7592,City Beach North,AA,25304,1,"LUDLAM, Scott",The Greens (WA),35
WA,238,Curtin,7592,City Beach North,AA,25305,2,"CUNNINGHAM, Christine",The Greens (WA),0
WA,238,Curtin,7592,City Beach North,AA,25306,3,"JAMES, Ian",The Greens (WA),0
WA,238,Curtin,7592,City Beach North,AA,25307,4,"STEELE-JOHN, Jordon",The Greens (WA),0
WA,238,Curtin,7592,City Beach North,AA,25308,5,"NIELSEN-HARVEY, Sarah",The Greens (WA),0
WA,238,Curtin,7592,City Beach North,AA,25309,6,"CULLITY, Judith",The Greens (WA),1
WA,238,Curtin,7592,City Beach North,AB,25412,0,AB Ticket Votes,DLP Democratic Labour,1
WA,238,Curtin,7592,City Beach North,AB,25340,1,"GOOD, Adrian",DLP Democratic Labour,0
WA,238,Curtin,7592,City Beach North,AB,25341,2,"KIERNAN, Cathy",DLP Democratic Labour,0
WA,238,Curtin,7592,City Beach North,AC,25411,0,AC Ticket Votes,Katter's Australian Party,0
WA,238,Curtin,7592,City Beach North,AC,25348,1,"BOUWMAN, Phillip",Katter's Australian Party,0
WA,238,Curtin,7592,City Beach North,AC,25349,2,"HODDINOTT, Susan",Katter's Australian Party,0
WA,238,Curtin,7592,City Beach North,AD,25414,0,AD Ticket Votes,Animal Justice Party,2
WA,238,Curtin,7592,City Beach North,AD,25302,1,"LOVE, Katrina",Animal Justice Party,0
WA,238,Curtin,7592,City Beach North,AD,25303,2,"SUTTON, Alicia",Animal Justice Party,0
WA,238,Curtin,7592,City Beach North,AE,25407,0,AE Ticket Votes,Sex Party,3
WA,238,Curtin,7592,City Beach North,AE,25314,1,"PATTEN, Fiona",Sex Party,2
WA,238,Curtin,7592,City Beach North,AE,25315,2,"COLEMAN, Mark",Sex Party,0
WA,238,Curtin,7592,City Beach North,AF,25405,0,AF Ticket Votes,Socialist Alliance,0
WA,238,Curtin,7592,City Beach North,AF,25287,1,"BAINBRIDGE, Alex",Socialist Alliance,0
WA,238,Curtin,7592,City Beach North,AF,25288,2,"JENKINS, Chris",Socialist Alliance,0
WA,238,Curtin,7592,City Beach North,AG,25393,0,AG Ticket Votes,Outdoor Recreation Party (Stop The Greens),1
WA,238,Curtin,7592,City Beach North,AG,25322,1,"FISHLOCK, David",Outdoor Recreation Party (Stop The Greens),1
WA,238,Curtin,7592,City Beach North,AG,25323,2,"DE LIMA, Joaquim",Outdoor Recreation Party (Stop The Greens),0
WA,238,Curtin,7592,City Beach North,UG,25289,1,"VAN LIESHOUT, Teresa",Independent,0
WA,238,Curtin,7592,City Beach North,UG,25310,2,"MUBARAK, Kim",Independent,0
WA,238,Curtin,7592,City Beach North,ZZ,0,99,INFORMAL,,13
WA,238,Curtin,7593,Claremont,A,25423,0,A Ticket Votes,The Wikileaks Party,11
WA,238,Curtin,7593,Claremont,A,25312,1,"MESZAROS, Tibor",The Wikileaks Party,0
WA,238,Curtin,7593,Claremont,A,25313,2,"NICOL, Lucy",The Wikileaks Party,0
WA,238,Curtin,7593,Claremont,B,25418,0,B Ticket Votes,The Nationals,20
WA,238,Curtin,7593,Claremont,B,25334,1,"VAN STYN, Shane",The Nationals,2
WA,238,Curtin,7593,Claremont,B,25335,2,"DE GRUSSA, Colin Stephen",The Nationals,0
WA,238,Curtin,7593,Claremont,C,25408,0,C Ticket Votes,,13
WA,238,Curtin,7593,Claremont,C,25356,1,"WOOLF, Russell",,15
WA,238,Curtin,7593,Claremont,C,25357,2,"JAMES, Verity",,0
WA,238,Curtin,7593,Claremont,D,25404,0,D Ticket Votes,Australian Democrats,0
WA,238,Curtin,7593,Claremont,D,25280,1,"FERNANDEZ, Chris",Australian Democrats,0
WA,238,Curtin,7593,Claremont,D,25281,2,"THIEL, William",Australian Democrats,0
WA,238,Curtin,7593,Claremont,E,25391,0,E Ticket Votes,Pirate Party,6
WA,238,Curtin,7593,Claremont,E,25296,1,"BOYD, Fletcher",Pirate Party,1
WA,238,Curtin,7593,Claremont,E,25297,2,"ALLEN, Michelle",Pirate Party,0
WA,238,Curtin,7593,Claremont,F,25394,0,F Ticket Votes,Australian Labor Party,152
WA,238,Curtin,7593,Claremont,F,25328,1,"BULLOCK, Joe",Australian Labor Party,4
WA,238,Curtin,7593,Claremont,F,25329,2,"PRATT, Louise",Australian Labor Party,13
WA,238,Curtin,7593,Claremont,F,25330,3,"HILL, Shane",Australian Labor Party,0
WA,238,Curtin,7593,Claremont,F,25331,4,"ANDRIC, Klara",Australian Labor Party,0
WA,238,Curtin,7593,Claremont,G,25409,0,G Ticket Votes,Australian Motoring Enthusiast Party,0
WA,238,Curtin,7593,Claremont,G,25342,1,"HOWLETT, Richie",Australian Motoring Enthusiast Party,0
WA,238,Curtin,7593,Claremont,G,25343,2,"ZANDVLIET, Rob",Australian Motoring Enthusiast Party,0
WA,238,Curtin,7593,Claremont,H,25403,0,H Ticket Votes,Freedom and Prosperity Party,1
WA,238,Curtin,7593,Claremont,H,25338,1,"KOUTALIANOS, Bill",Freedom and Prosperity Party,0
WA,238,Curtin,7593,Claremont,H,25339,2,"ASHBY, Leon",Freedom and Prosperity Party,0
WA,238,Curtin,7593,Claremont,I,25396,0,I Ticket Votes,Voluntary Euthanasia Party,8
WA,238,Curtin,7593,Claremont,I,25324,1,"NITSCHKE, Philip",Voluntary Euthanasia Party,3
WA,238,Curtin,7593,Claremont,I,25325,2,"DUFFIELD, Jim",Voluntary Euthanasia Party,0
WA,238,Curtin,7593,Claremont,J,25422,0,J Ticket Votes,Liberal Democrats,32
WA,238,Curtin,7593,Claremont,J,25318,1,"FRYAR, Jim",Liberal Democrats,0
WA,238,Curtin,7593,Claremont,J,25319,2,"HAMILTON, Neil",Liberal Democrats,0
WA,238,Curtin,7593,Claremont,K,25392,0,K Ticket Votes,Australian Voice Party,1
WA,238,Curtin,7593,Claremont,K,25290,1,"PARKES, Brian W",Australian Voice Party,0
WA,238,Curtin,7593,Claremont,K,25291,2,"BUTLER, Sean",Australian Voice Party,0
WA,238,Curtin,7593,Claremont,L,25402,0,L Ticket Votes,Building Australia Party,0
WA,238,Curtin,7593,Claremont,L,25344,1,"BEZANT, Ken",Building Australia Party,0
WA,238,Curtin,7593,Claremont,L,25345,2,"SMEE, Daniel Ross",Building Australia Party,0
WA,238,Curtin,7593,Claremont,M,25406,0,M Ticket Votes,Mutual Party,2
WA,238,Curtin,7593,Claremont,M,25352,1,"FELS, Anthony James",Mutual Party,0
WA,238,Curtin,7593,Claremont,M,25353,2,"CHANDRA, Felly",Mutual Party,0
WA,238,Curtin,7593,Claremont,N,25400,0,N Ticket Votes,Family First Party,4
WA,238,Curtin,7593,Claremont,N,25336,1,"ROSE, Linda",Family First Party,2
WA,238,Curtin,7593,Claremont,N,25337,2,"HENG, Henry",Family First Party,0
WA,238,Curtin,7593,Claremont,O,25397,0,O Ticket Votes,#Sustainable Population Party,6
WA,238,Curtin,7593,Claremont,O,25354,1,"STRACHAN, Peter",#Sustainable Population Party,2
WA,238,Curtin,7593,Claremont,O,25355,2,"BOURKE, William",#Sustainable Population Party,0
WA,238,Curtin,7593,Claremont,P,25410,0,P Ticket Votes,Palmer United Party,66
WA,238,Curtin,7593,Claremont,P,25284,1,"WANG, Zhenya",Palmer United Party,1
WA,238,Curtin,7593,Claremont,P,25285,2,"HEADLAND, Desmond John",Palmer United Party,1
WA,238,Curtin,7593,Claremont,P,25286,3,"TERBLANCHE, Chamonix",Palmer United Party,1
WA,238,Curtin,7593,Claremont,Q,25413,0,Q Ticket Votes,Australian Sports Party,4
WA,238,Curtin,7593,Claremont,Q,25326,1,"DROPULICH, Wayne",Australian Sports Party,0
WA,238,Curtin,7593,Claremont,Q,25327,2,"LACKOVIC, Al",Australian Sports Party,0
WA,238,Curtin,7593,Claremont,R,25395,0,R Ticket Votes,Liberal,1432
WA,238,Curtin,7593,Claremont,R,25298,1,"JOHNSTON, David",Liberal,17
WA,238,Curtin,7593,Claremont,R,25299,2,"CASH, Michaelia",Liberal,1
WA,238,Curtin,7593,Claremont,R,25300,3,"REYNOLDS, Linda",Liberal,4
WA,238,Curtin,7593,Claremont,R,25301,4,"BROCKMAN, Slade",Liberal,2
WA,238,Curtin,7593,Claremont,S,25419,0,S Ticket Votes,Shooters and Fishers,6
WA,238,Curtin,7593,Claremont,S,25316,1,"BOW, Murray",Shooters and Fishers,3
WA,238,Curtin,7593,Claremont,S,25317,2,"PARKES, John",Shooters and Fishers,0
WA,238,Curtin,7593,Claremont,T,25398,0,T Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,21
