2022 Federal Election Senate First Preferences By Polling Place for Division 249 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:47 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,249,Paterson,1634,Salt Ash,G,37983,0,G Above-the-line Votes,"Liberal Party of Australia,NSW Division-National Party of Australia NSW",211
NSW,249,Paterson,1634,Salt Ash,G,37567,1,"PAYNE, Marise",Liberal,5
NSW,249,Paterson,1634,Salt Ash,G,37576,2,"CADELL, Ross",The Nationals,0
NSW,249,Paterson,1634,Salt Ash,G,37577,3,"MOLAN, Jim",Liberal,2
NSW,249,Paterson,1634,Salt Ash,G,37578,4,"PENFOLD, Alison Louise",The Nationals,0
NSW,249,Paterson,1634,Salt Ash,G,37581,5,"JARVIS, Mary-Lou",Liberal,0
NSW,249,Paterson,1634,Salt Ash,G,37584,6,"McGAHEY, Vicky",Liberal,1
NSW,249,Paterson,1634,Salt Ash,H,37981,0,H Above-the-line Votes,Reason Australia,2
NSW,249,Paterson,1634,Salt Ash,H,37396,1,"CARO, Jane",Reason Australia,0
NSW,249,Paterson,1634,Salt Ash,H,37397,2,"MAHER, Hannah Kate",Reason Australia,0
NSW,249,Paterson,1634,Salt Ash,H,37402,3,"RYALL, Diana",Reason Australia,0
NSW,249,Paterson,1634,Salt Ash,I,37987,0,I Above-the-line Votes,Socialist Alliance,2
NSW,249,Paterson,1634,Salt Ash,I,37484,1,"SANCHEZ, Paula",Socialist Alliance,0
NSW,249,Paterson,1634,Salt Ash,I,37502,2,"LEKA, Niko",Socialist Alliance,0
NSW,249,Paterson,1634,Salt Ash,I,37508,3,"EVANS, Rachel",Socialist Alliance,0
NSW,249,Paterson,1634,Salt Ash,J,37988,0,J Above-the-line Votes,Federal ICAC Now,0
NSW,249,Paterson,1634,Salt Ash,J,37478,1,"JONES, Ross",Federal ICAC Now,0
NSW,249,Paterson,1634,Salt Ash,J,37489,2,"ANDERSON, Gabrielle",Federal ICAC Now,0
NSW,249,Paterson,1634,Salt Ash,K,37977,0,K Above-the-line Votes,Australian Democrats,4
NSW,249,Paterson,1634,Salt Ash,K,37392,1,"BATY, Steven James",Australian Democrats,0
NSW,249,Paterson,1634,Salt Ash,K,37403,2,"ROGERS, Suzanne",Australian Democrats,0
NSW,249,Paterson,1634,Salt Ash,K,37404,3,"RICHARDS, Craig Edward",Australian Democrats,0
NSW,249,Paterson,1634,Salt Ash,L,37975,0,L Above-the-line Votes,Indigenous - Aboriginal Party of Australia,6
NSW,249,Paterson,1634,Salt Ash,L,36755,1,"WHYMAN, Owen Douglas",Indigenous - Aboriginal Party of Australia,0
NSW,249,Paterson,1634,Salt Ash,L,36766,2,"BROOKE, Lawrence John",Indigenous - Aboriginal Party of Australia,0
NSW,249,Paterson,1634,Salt Ash,M,37980,0,M Above-the-line Votes,"Shooters, Fishers and Farmers Party",31
NSW,249,Paterson,1634,Salt Ash,M,37505,1,"DJURIC, Shane","Shooters, Fishers and Farmers Party",0
NSW,249,Paterson,1634,Salt Ash,M,37509,2,"GREGORY, Desiree J","Shooters, Fishers and Farmers Party",0
NSW,249,Paterson,1634,Salt Ash,M,37511,3,"MILGATE, Brian","Shooters, Fishers and Farmers Party",0
NSW,249,Paterson,1634,Salt Ash,M,37513,4,"CROOKS, Jeremy","Shooters, Fishers and Farmers Party",0
NSW,249,Paterson,1634,Salt Ash,N,37973,0,N Above-the-line Votes,Seniors United Party of Australia,0
NSW,249,Paterson,1634,Salt Ash,N,36469,1,"KOCHER, Dessie",Seniors United Party of Australia,0
NSW,249,Paterson,1634,Salt Ash,N,36473,2,"BENNIE, Ray",Seniors United Party of Australia,0
NSW,249,Paterson,1634,Salt Ash,O,37971,0,O Above-the-line Votes,Informed Medical Options Party,3
NSW,249,Paterson,1634,Salt Ash,O,36407,1,"O'NEILL, Michael",Informed Medical Options Party,1
NSW,249,Paterson,1634,Salt Ash,O,36410,2,"BURNUM BURNUM, Marelle",Informed Medical Options Party,0
NSW,249,Paterson,1634,Salt Ash,P,37985,0,P Above-the-line Votes,The Great Australian Party,3
NSW,249,Paterson,1634,Salt Ash,P,37446,1,"HOPKINS, Matthew",The Great Australian Party,0
NSW,249,Paterson,1634,Salt Ash,P,37449,2,"NOHRA, George",The Great Australian Party,0
NSW,249,Paterson,1634,Salt Ash,Q,37979,0,Q Above-the-line Votes,Legalise Cannabis Australia,27
NSW,249,Paterson,1634,Salt Ash,Q,36750,1,"BALDERSTONE, Michael",Legalise Cannabis Australia,1
NSW,249,Paterson,1634,Salt Ash,Q,36754,2,"HESTER, Gail",Legalise Cannabis Australia,1
NSW,249,Paterson,1634,Salt Ash,R,37974,0,R Above-the-line Votes,"FUSION: Science, Pirate, Secular, Climate Emergency",1
NSW,249,Paterson,1634,Salt Ash,R,36465,1,"LEONG, Andrea","FUSION: Science, Pirate, Secular, Climate Emergency",1
NSW,249,Paterson,1634,Salt Ash,R,36467,2,"BRYCE, Ian R","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,249,Paterson,1634,Salt Ash,S,37986,0,S Above-the-line Votes,Pauline Hanson's One Nation,61
NSW,249,Paterson,1634,Salt Ash,S,37750,1,"McCULLOCH, Kate",Pauline Hanson's One Nation,6
NSW,249,Paterson,1634,Salt Ash,S,37752,2,"GRIGG, Colin",Pauline Hanson's One Nation,0
NSW,249,Paterson,1634,Salt Ash,S,37754,3,"SMITH, Roger",Pauline Hanson's One Nation,0
NSW,249,Paterson,1634,Salt Ash,T,37970,0,T Above-the-line Votes,Liberal Democrats,10
NSW,249,Paterson,1634,Salt Ash,T,36414,1,"RUDDICK, John",Liberal Democrats,0
NSW,249,Paterson,1634,Salt Ash,T,36418,2,"LARTER, John",Liberal Democrats,0
NSW,249,Paterson,1634,Salt Ash,T,36422,3,"CALDWELL, James Arthur",Liberal Democrats,0
NSW,249,Paterson,1634,Salt Ash,T,36427,4,"GUEST, Mark Antony",Liberal Democrats,0
NSW,249,Paterson,1634,Salt Ash,U,37982,0,U Above-the-line Votes,Australian Values Party,1
NSW,249,Paterson,1634,Salt Ash,U,36942,1,"CLANCY, Selena",Australian Values Party,0
NSW,249,Paterson,1634,Salt Ash,U,36947,2,"GILBERT, Dave",Australian Values Party,0
NSW,249,Paterson,1634,Salt Ash,V,37978,0,V Above-the-line Votes,Labor,184
NSW,249,Paterson,1634,Salt Ash,V,37168,1,"O'NEILL, Deborah",Labor,1
NSW,249,Paterson,1634,Salt Ash,V,37173,2,"McALLISTER, Jenny",Labor,0
NSW,249,Paterson,1634,Salt Ash,V,37180,3,"MORRIS, Shireen",Labor,0
NSW,249,Paterson,1634,Salt Ash,V,37182,4,"MYERS, Mich-Elle Elizabeth",Labor,0
NSW,249,Paterson,1634,Salt Ash,V,37183,5,"ROSE, Kylie Anne",Labor,1
NSW,249,Paterson,1634,Salt Ash,V,37185,6,"WARREN-SMITH, James",Labor,0
NSW,249,Paterson,1634,Salt Ash,W,37967,0,W Above-the-line Votes,UAP,35
NSW,249,Paterson,1634,Salt Ash,W,36373,1,"MARTINO, Domenic Vincent",United Australia Party,0
NSW,249,Paterson,1634,Salt Ash,W,36378,2,"WRIGHTSON, Suellen",United Australia Party,0
NSW,249,Paterson,1634,Salt Ash,W,36380,3,"MOORE, Wayne Leslie",United Australia Party,0
NSW,249,Paterson,1634,Salt Ash,W,36383,4,"MARTIN, Michelle",United Australia Party,0
NSW,249,Paterson,1634,Salt Ash,W,36386,5,"YAP, Johnny",United Australia Party,0
NSW,249,Paterson,1634,Salt Ash,W,36390,6,"LOUGHREY, Kevin Andrew",United Australia Party,0
NSW,249,Paterson,1634,Salt Ash,UG,37600,1,"LIM, Danny",Independent,0
NSW,249,Paterson,1634,Salt Ash,UG,37603,2,"COLLINS, Julie",Independent,1
NSW,249,Paterson,1634,Salt Ash,UG,37639,3,"GRZIC, Warren",Independent,0
NSW,249,Paterson,1634,Salt Ash,UG,37632,4,"LU, Guitang",Independent,0
NSW,249,Paterson,1634,Salt Ash,UG,36068,5,"LAING, William",Independent,0
NSW,249,Paterson,1634,Salt Ash,ZZ,0,99,INFORMAL,,39
NSW,249,Paterson,1636,Shoal Bay,A,37972,0,A Above-the-line Votes,Animal Justice Party,10
NSW,249,Paterson,1636,Shoal Bay,A,36425,1,"BROLLO, Darren",Animal Justice Party,1
NSW,249,Paterson,1636,Shoal Bay,A,36430,2,"POWER, Julie",Animal Justice Party,1
NSW,249,Paterson,1636,Shoal Bay,B,37966,0,B Above-the-line Votes,TNL,0
NSW,249,Paterson,1636,Shoal Bay,B,36771,1,"KEEN, Steve",TNL,0
NSW,249,Paterson,1636,Shoal Bay,B,36773,2,"GREEN, Melissa",TNL,0
NSW,249,Paterson,1636,Shoal Bay,C,37976,0,C Above-the-line Votes,Citizens Party,0
NSW,249,Paterson,1636,Shoal Bay,C,37147,1,"LIU, Kingsley",Citizens Party,0
NSW,249,Paterson,1636,Shoal Bay,C,37148,2,"LAWLER, Ann",Citizens Party,0
NSW,249,Paterson,1636,Shoal Bay,D,37984,0,D Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,1
NSW,249,Paterson,1636,Shoal Bay,D,37149,1,"LAMB, Georgia",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,249,Paterson,1636,Shoal Bay,D,37152,2,"DE VIVE, Suzanne",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,249,Paterson,1636,Shoal Bay,E,37968,0,E Above-the-line Votes,The Greens,34
NSW,249,Paterson,1636,Shoal Bay,E,36581,1,"SHOEBRIDGE, David",The Greens,3
NSW,249,Paterson,1636,Shoal Bay,E,36585,2,"COHN, Amanda",The Greens,0
NSW,249,Paterson,1636,Shoal Bay,E,36634,3,"FLOOD, Rochelle",The Greens,0
NSW,249,Paterson,1636,Shoal Bay,E,36637,4,"SCOTT, Jane",The Greens,0
NSW,249,Paterson,1636,Shoal Bay,E,36639,5,"ARYA, Hawa",The Greens,0
NSW,249,Paterson,1636,Shoal Bay,E,36638,6,"WHEELER, Danielle",The Greens,0
NSW,249,Paterson,1636,Shoal Bay,F,37969,0,F Above-the-line Votes,,0
NSW,249,Paterson,1636,Shoal Bay,F,37143,1,"BODDY, Max",,0
NSW,249,Paterson,1636,Shoal Bay,F,37145,2,"GRENFELL, Oscar",,0
NSW,249,Paterson,1636,Shoal Bay,G,37983,0,G Above-the-line Votes,"Liberal Party of Australia,NSW Division-National Party of Australia NSW",212
NSW,249,Paterson,1636,Shoal Bay,G,37567,1,"PAYNE, Marise",Liberal,3
NSW,249,Paterson,1636,Shoal Bay,G,37576,2,"CADELL, Ross",The Nationals,0
NSW,249,Paterson,1636,Shoal Bay,G,37577,3,"MOLAN, Jim",Liberal,0
NSW,249,Paterson,1636,Shoal Bay,G,37578,4,"PENFOLD, Alison Louise",The Nationals,0
NSW,249,Paterson,1636,Shoal Bay,G,37581,5,"JARVIS, Mary-Lou",Liberal,0
NSW,249,Paterson,1636,Shoal Bay,G,37584,6,"McGAHEY, Vicky",Liberal,0
NSW,249,Paterson,1636,Shoal Bay,H,37981,0,H Above-the-line Votes,Reason Australia,2
NSW,249,Paterson,1636,Shoal Bay,H,37396,1,"CARO, Jane",Reason Australia,0
NSW,249,Paterson,1636,Shoal Bay,H,37397,2,"MAHER, Hannah Kate",Reason Australia,0
NSW,249,Paterson,1636,Shoal Bay,H,37402,3,"RYALL, Diana",Reason Australia,0
NSW,249,Paterson,1636,Shoal Bay,I,37987,0,I Above-the-line Votes,Socialist Alliance,0
NSW,249,Paterson,1636,Shoal Bay,I,37484,1,"SANCHEZ, Paula",Socialist Alliance,0
NSW,249,Paterson,1636,Shoal Bay,I,37502,2,"LEKA, Niko",Socialist Alliance,0
NSW,249,Paterson,1636,Shoal Bay,I,37508,3,"EVANS, Rachel",Socialist Alliance,0
NSW,249,Paterson,1636,Shoal Bay,J,37988,0,J Above-the-line Votes,Federal ICAC Now,2
NSW,249,Paterson,1636,Shoal Bay,J,37478,1,"JONES, Ross",Federal ICAC Now,0
NSW,249,Paterson,1636,Shoal Bay,J,37489,2,"ANDERSON, Gabrielle",Federal ICAC Now,0
NSW,249,Paterson,1636,Shoal Bay,K,37977,0,K Above-the-line Votes,Australian Democrats,3
NSW,249,Paterson,1636,Shoal Bay,K,37392,1,"BATY, Steven James",Australian Democrats,0
NSW,249,Paterson,1636,Shoal Bay,K,37403,2,"ROGERS, Suzanne",Australian Democrats,0
NSW,249,Paterson,1636,Shoal Bay,K,37404,3,"RICHARDS, Craig Edward",Australian Democrats,0
NSW,249,Paterson,1636,Shoal Bay,L,37975,0,L Above-the-line Votes,Indigenous - Aboriginal Party of Australia,4
NSW,249,Paterson,1636,Shoal Bay,L,36755,1,"WHYMAN, Owen Douglas",Indigenous - Aboriginal Party of Australia,0
NSW,249,Paterson,1636,Shoal Bay,L,36766,2,"BROOKE, Lawrence John",Indigenous - Aboriginal Party of Australia,0
NSW,249,Paterson,1636,Shoal Bay,M,37980,0,M Above-the-line Votes,"Shooters, Fishers and Farmers Party",6
NSW,249,Paterson,1636,Shoal Bay,M,37505,1,"DJURIC, Shane","Shooters, Fishers and Farmers Party",1
NSW,249,Paterson,1636,Shoal Bay,M,37509,2,"GREGORY, Desiree J","Shooters, Fishers and Farmers Party",0
NSW,249,Paterson,1636,Shoal Bay,M,37511,3,"MILGATE, Brian","Shooters, Fishers and Farmers Party",0
NSW,249,Paterson,1636,Shoal Bay,M,37513,4,"CROOKS, Jeremy","Shooters, Fishers and Farmers Party",0
NSW,249,Paterson,1636,Shoal Bay,N,37973,0,N Above-the-line Votes,Seniors United Party of Australia,1
NSW,249,Paterson,1636,Shoal Bay,N,36469,1,"KOCHER, Dessie",Seniors United Party of Australia,0
NSW,249,Paterson,1636,Shoal Bay,N,36473,2,"BENNIE, Ray",Seniors United Party of Australia,0
NSW,249,Paterson,1636,Shoal Bay,O,37971,0,O Above-the-line Votes,Informed Medical Options Party,9
NSW,249,Paterson,1636,Shoal Bay,O,36407,1,"O'NEILL, Michael",Informed Medical Options Party,0
NSW,249,Paterson,1636,Shoal Bay,O,36410,2,"BURNUM BURNUM, Marelle",Informed Medical Options Party,0
NSW,249,Paterson,1636,Shoal Bay,P,37985,0,P Above-the-line Votes,The Great Australian Party,2
NSW,249,Paterson,1636,Shoal Bay,P,37446,1,"HOPKINS, Matthew",The Great Australian Party,0
NSW,249,Paterson,1636,Shoal Bay,P,37449,2,"NOHRA, George",The Great Australian Party,0
NSW,249,Paterson,1636,Shoal Bay,Q,37979,0,Q Above-the-line Votes,Legalise Cannabis Australia,23
NSW,249,Paterson,1636,Shoal Bay,Q,36750,1,"BALDERSTONE, Michael",Legalise Cannabis Australia,1
NSW,249,Paterson,1636,Shoal Bay,Q,36754,2,"HESTER, Gail",Legalise Cannabis Australia,0
NSW,249,Paterson,1636,Shoal Bay,R,37974,0,R Above-the-line Votes,"FUSION: Science, Pirate, Secular, Climate Emergency",2
NSW,249,Paterson,1636,Shoal Bay,R,36465,1,"LEONG, Andrea","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,249,Paterson,1636,Shoal Bay,R,36467,2,"BRYCE, Ian R","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,249,Paterson,1636,Shoal Bay,S,37986,0,S Above-the-line Votes,Pauline Hanson's One Nation,29
NSW,249,Paterson,1636,Shoal Bay,S,37750,1,"McCULLOCH, Kate",Pauline Hanson's One Nation,3
NSW,249,Paterson,1636,Shoal Bay,S,37752,2,"GRIGG, Colin",Pauline Hanson's One Nation,1
NSW,249,Paterson,1636,Shoal Bay,S,37754,3,"SMITH, Roger",Pauline Hanson's One Nation,0
NSW,249,Paterson,1636,Shoal Bay,T,37970,0,T Above-the-line Votes,Liberal Democrats,17
NSW,249,Paterson,1636,Shoal Bay,T,36414,1,"RUDDICK, John",Liberal Democrats,0
NSW,249,Paterson,1636,Shoal Bay,T,36418,2,"LARTER, John",Liberal Democrats,0
NSW,249,Paterson,1636,Shoal Bay,T,36422,3,"CALDWELL, James Arthur",Liberal Democrats,0
NSW,249,Paterson,1636,Shoal Bay,T,36427,4,"GUEST, Mark Antony",Liberal Democrats,0
NSW,249,Paterson,1636,Shoal Bay,U,37982,0,U Above-the-line Votes,Australian Values Party,0
NSW,249,Paterson,1636,Shoal Bay,U,36942,1,"CLANCY, Selena",Australian Values Party,0
NSW,249,Paterson,1636,Shoal Bay,U,36947,2,"GILBERT, Dave",Australian Values Party,0
NSW,249,Paterson,1636,Shoal Bay,V,37978,0,V Above-the-line Votes,Labor,169
NSW,249,Paterson,1636,Shoal Bay,V,37168,1,"O'NEILL, Deborah",Labor,7
NSW,249,Paterson,1636,Shoal Bay,V,37173,2,"McALLISTER, Jenny",Labor,0
NSW,249,Paterson,1636,Shoal Bay,V,37180,3,"MORRIS, Shireen",Labor,0
NSW,249,Paterson,1636,Shoal Bay,V,37182,4,"MYERS, Mich-Elle Elizabeth",Labor,0
NSW,249,Paterson,1636,Shoal Bay,V,37183,5,"ROSE, Kylie Anne",Labor,1
NSW,249,Paterson,1636,Shoal Bay,V,37185,6,"WARREN-SMITH, James",Labor,0
NSW,249,Paterson,1636,Shoal Bay,W,37967,0,W Above-the-line Votes,UAP,13
NSW,249,Paterson,1636,Shoal Bay,W,36373,1,"MARTINO, Domenic Vincent",United Australia Party,0
NSW,249,Paterson,1636,Shoal Bay,W,36378,2,"WRIGHTSON, Suellen",United Australia Party,0
NSW,249,Paterson,1636,Shoal Bay,W,36380,3,"MOORE, Wayne Leslie",United Australia Party,0
NSW,249,Paterson,1636,Shoal Bay,W,36383,4,"MARTIN, Michelle",United Australia Party,0
NSW,249,Paterson,1636,Shoal Bay,W,36386,5,"YAP, Johnny",United Australia Party,0
NSW,249,Paterson,1636,Shoal Bay,W,36390,6,"LOUGHREY, Kevin Andrew",United Australia Party,0
NSW,249,Paterson,1636,Shoal Bay,UG,37600,1,"LIM, Danny",Independent,0
NSW,249,Paterson,1636,Shoal Bay,UG,37603,2,"COLLINS, Julie",Independent,0
NSW,249,Paterson,1636,Shoal Bay,UG,37639,3,"GRZIC, Warren",Independent,0
NSW,249,Paterson,1636,Shoal Bay,UG,37632,4,"LU, Guitang",Independent,0
NSW,249,Paterson,1636,Shoal Bay,UG,36068,5,"LAING, William",Independent,0
NSW,249,Paterson,1636,Shoal Bay,ZZ,0,99,INFORMAL,,32
NSW,249,Paterson,1641,Tanilba Bay,A,37972,0,A Above-the-line Votes,Animal Justice Party,45
NSW,249,Paterson,1641,Tanilba Bay,A,36425,1,"BROLLO, Darren",Animal Justice Party,2
NSW,249,Paterson,1641,Tanilba Bay,A,36430,2,"POWER, Julie",Animal Justice Party,0
NSW,249,Paterson,1641,Tanilba Bay,B,37966,0,B Above-the-line Votes,TNL,2
NSW,249,Paterson,1641,Tanilba Bay,B,36771,1,"KEEN, Steve",TNL,0
NSW,249,Paterson,1641,Tanilba Bay,B,36773,2,"GREEN, Melissa",TNL,0
NSW,249,Paterson,1641,Tanilba Bay,C,37976,0,C Above-the-line Votes,Citizens Party,0
NSW,249,Paterson,1641,Tanilba Bay,C,37147,1,"LIU, Kingsley",Citizens Party,1
NSW,249,Paterson,1641,Tanilba Bay,C,37148,2,"LAWLER, Ann",Citizens Party,0
NSW,249,Paterson,1641,Tanilba Bay,D,37984,0,D Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,5
NSW,249,Paterson,1641,Tanilba Bay,D,37149,1,"LAMB, Georgia",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,249,Paterson,1641,Tanilba Bay,D,37152,2,"DE VIVE, Suzanne",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,249,Paterson,1641,Tanilba Bay,E,37968,0,E Above-the-line Votes,The Greens,93
NSW,249,Paterson,1641,Tanilba Bay,E,36581,1,"SHOEBRIDGE, David",The Greens,8
NSW,249,Paterson,1641,Tanilba Bay,E,36585,2,"COHN, Amanda",The Greens,0
NSW,249,Paterson,1641,Tanilba Bay,E,36634,3,"FLOOD, Rochelle",The Greens,0
NSW,249,Paterson,1641,Tanilba Bay,E,36637,4,"SCOTT, Jane",The Greens,0
NSW,249,Paterson,1641,Tanilba Bay,E,36639,5,"ARYA, Hawa",The Greens,0
NSW,249,Paterson,1641,Tanilba Bay,E,36638,6,"WHEELER, Danielle",The Greens,0
NSW,249,Paterson,1641,Tanilba Bay,F,37969,0,F Above-the-line Votes,,0
NSW,249,Paterson,1641,Tanilba Bay,F,37143,1,"BODDY, Max",,0
NSW,249,Paterson,1641,Tanilba Bay,F,37145,2,"GRENFELL, Oscar",,0
NSW,249,Paterson,1641,Tanilba Bay,G,37983,0,G Above-the-line Votes,"Liberal Party of Australia,NSW Division-National Party of Australia NSW",501
NSW,249,Paterson,1641,Tanilba Bay,G,37567,1,"PAYNE, Marise",Liberal,3
NSW,249,Paterson,1641,Tanilba Bay,G,37576,2,"CADELL, Ross",The Nationals,0
NSW,249,Paterson,1641,Tanilba Bay,G,37577,3,"MOLAN, Jim",Liberal,4
NSW,249,Paterson,1641,Tanilba Bay,G,37578,4,"PENFOLD, Alison Louise",The Nationals,1
NSW,249,Paterson,1641,Tanilba Bay,G,37581,5,"JARVIS, Mary-Lou",Liberal,0
NSW,249,Paterson,1641,Tanilba Bay,G,37584,6,"McGAHEY, Vicky",Liberal,1
NSW,249,Paterson,1641,Tanilba Bay,H,37981,0,H Above-the-line Votes,Reason Australia,2
NSW,249,Paterson,1641,Tanilba Bay,H,37396,1,"CARO, Jane",Reason Australia,2
NSW,249,Paterson,1641,Tanilba Bay,H,37397,2,"MAHER, Hannah Kate",Reason Australia,0
NSW,249,Paterson,1641,Tanilba Bay,H,37402,3,"RYALL, Diana",Reason Australia,0
NSW,249,Paterson,1641,Tanilba Bay,I,37987,0,I Above-the-line Votes,Socialist Alliance,2
NSW,249,Paterson,1641,Tanilba Bay,I,37484,1,"SANCHEZ, Paula",Socialist Alliance,0
NSW,249,Paterson,1641,Tanilba Bay,I,37502,2,"LEKA, Niko",Socialist Alliance,0
NSW,249,Paterson,1641,Tanilba Bay,I,37508,3,"EVANS, Rachel",Socialist Alliance,0
NSW,249,Paterson,1641,Tanilba Bay,J,37988,0,J Above-the-line Votes,Federal ICAC Now,2
NSW,249,Paterson,1641,Tanilba Bay,J,37478,1,"JONES, Ross",Federal ICAC Now,0
NSW,249,Paterson,1641,Tanilba Bay,J,37489,2,"ANDERSON, Gabrielle",Federal ICAC Now,0
NSW,249,Paterson,1641,Tanilba Bay,K,37977,0,K Above-the-line Votes,Australian Democrats,4
NSW,249,Paterson,1641,Tanilba Bay,K,37392,1,"BATY, Steven James",Australian Democrats,0
NSW,249,Paterson,1641,Tanilba Bay,K,37403,2,"ROGERS, Suzanne",Australian Democrats,0
NSW,249,Paterson,1641,Tanilba Bay,K,37404,3,"RICHARDS, Craig Edward",Australian Democrats,0
NSW,249,Paterson,1641,Tanilba Bay,L,37975,0,L Above-the-line Votes,Indigenous - Aboriginal Party of Australia,13
NSW,249,Paterson,1641,Tanilba Bay,L,36755,1,"WHYMAN, Owen Douglas",Indigenous - Aboriginal Party of Australia,5
NSW,249,Paterson,1641,Tanilba Bay,L,36766,2,"BROOKE, Lawrence John",Indigenous - Aboriginal Party of Australia,1
NSW,249,Paterson,1641,Tanilba Bay,M,37980,0,M Above-the-line Votes,"Shooters, Fishers and Farmers Party",56
NSW,249,Paterson,1641,Tanilba Bay,M,37505,1,"DJURIC, Shane","Shooters, Fishers and Farmers Party",2
NSW,249,Paterson,1641,Tanilba Bay,M,37509,2,"GREGORY, Desiree J","Shooters, Fishers and Farmers Party",0
NSW,249,Paterson,1641,Tanilba Bay,M,37511,3,"MILGATE, Brian","Shooters, Fishers and Farmers Party",0
NSW,249,Paterson,1641,Tanilba Bay,M,37513,4,"CROOKS, Jeremy","Shooters, Fishers and Farmers Party",0
NSW,249,Paterson,1641,Tanilba Bay,N,37973,0,N Above-the-line Votes,Seniors United Party of Australia,4
NSW,249,Paterson,1641,Tanilba Bay,N,36469,1,"KOCHER, Dessie",Seniors United Party of Australia,0
NSW,249,Paterson,1641,Tanilba Bay,N,36473,2,"BENNIE, Ray",Seniors United Party of Australia,0
NSW,249,Paterson,1641,Tanilba Bay,O,37971,0,O Above-the-line Votes,Informed Medical Options Party,22
NSW,249,Paterson,1641,Tanilba Bay,O,36407,1,"O'NEILL, Michael",Informed Medical Options Party,4
NSW,249,Paterson,1641,Tanilba Bay,O,36410,2,"BURNUM BURNUM, Marelle",Informed Medical Options Party,0
NSW,249,Paterson,1641,Tanilba Bay,P,37985,0,P Above-the-line Votes,The Great Australian Party,8
NSW,249,Paterson,1641,Tanilba Bay,P,37446,1,"HOPKINS, Matthew",The Great Australian Party,1
NSW,249,Paterson,1641,Tanilba Bay,P,37449,2,"NOHRA, George",The Great Australian Party,0
NSW,249,Paterson,1641,Tanilba Bay,Q,37979,0,Q Above-the-line Votes,Legalise Cannabis Australia,82
NSW,249,Paterson,1641,Tanilba Bay,Q,36750,1,"BALDERSTONE, Michael",Legalise Cannabis Australia,2
NSW,249,Paterson,1641,Tanilba Bay,Q,36754,2,"HESTER, Gail",Legalise Cannabis Australia,0
NSW,249,Paterson,1641,Tanilba Bay,R,37974,0,R Above-the-line Votes,"FUSION: Science, Pirate, Secular, Climate Emergency",5
NSW,249,Paterson,1641,Tanilba Bay,R,36465,1,"LEONG, Andrea","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,249,Paterson,1641,Tanilba Bay,R,36467,2,"BRYCE, Ian R","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,249,Paterson,1641,Tanilba Bay,S,37986,0,S Above-the-line Votes,Pauline Hanson's One Nation,162
NSW,249,Paterson,1641,Tanilba Bay,S,37750,1,"McCULLOCH, Kate",Pauline Hanson's One Nation,8
NSW,249,Paterson,1641,Tanilba Bay,S,37752,2,"GRIGG, Colin",Pauline Hanson's One Nation,1
NSW,249,Paterson,1641,Tanilba Bay,S,37754,3,"SMITH, Roger",Pauline Hanson's One Nation,1
NSW,249,Paterson,1641,Tanilba Bay,T,37970,0,T Above-the-line Votes,Liberal Democrats,35
NSW,249,Paterson,1641,Tanilba Bay,T,36414,1,"RUDDICK, John",Liberal Democrats,0
NSW,249,Paterson,1641,Tanilba Bay,T,36418,2,"LARTER, John",Liberal Democrats,1
NSW,249,Paterson,1641,Tanilba Bay,T,36422,3,"CALDWELL, James Arthur",Liberal Democrats,0
NSW,249,Paterson,1641,Tanilba Bay,T,36427,4,"GUEST, Mark Antony",Liberal Democrats,0
NSW,249,Paterson,1641,Tanilba Bay,U,37982,0,U Above-the-line Votes,Australian Values Party,2
NSW,249,Paterson,1641,Tanilba Bay,U,36942,1,"CLANCY, Selena",Australian Values Party,0
NSW,249,Paterson,1641,Tanilba Bay,U,36947,2,"GILBERT, Dave",Australian Values Party,0
NSW,249,Paterson,1641,Tanilba Bay,V,37978,0,V Above-the-line Votes,Labor,452
NSW,249,Paterson,1641,Tanilba Bay,V,37168,1,"O'NEILL, Deborah",Labor,9
NSW,249,Paterson,1641,Tanilba Bay,V,37173,2,"McALLISTER, Jenny",Labor,2
NSW,249,Paterson,1641,Tanilba Bay,V,37180,3,"MORRIS, Shireen",Labor,0
NSW,249,Paterson,1641,Tanilba Bay,V,37182,4,"MYERS, Mich-Elle Elizabeth",Labor,0
NSW,249,Paterson,1641,Tanilba Bay,V,37183,5,"ROSE, Kylie Anne",Labor,0
