2007 Federal Election Senate First Preferences By Polling Place for Division 172 [Event:13745 Phase:FinalResults Generated:2008-09-03T12:47:07 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
QLD,172,Moncrieff,6076,Evandale,T,17350,1,"BRICE, Linda",Christian Democratic Party (Fred Nile Group),0
QLD,172,Moncrieff,6076,Evandale,T,17351,2,"BRICE, Malcolm",Christian Democratic Party (Fred Nile Group),0
QLD,172,Moncrieff,6076,Evandale,U,18672,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
QLD,172,Moncrieff,6076,Evandale,U,18496,1,"HEALEY, Bill",Non-Custodial Parents Party (Equal Parenting),0
QLD,172,Moncrieff,6076,Evandale,U,18497,2,"THOMPSON, Doug",Non-Custodial Parents Party (Equal Parenting),0
QLD,172,Moncrieff,6076,Evandale,V,18668,0,V Ticket Votes,D.L.P. - Democratic Labor Party,6
QLD,172,Moncrieff,6076,Evandale,V,18357,1,"JACKSON, Noel",D.L.P. - Democratic Labor Party,0
QLD,172,Moncrieff,6076,Evandale,V,18359,2,"DOWLING, Brian",D.L.P. - Democratic Labor Party,0
QLD,172,Moncrieff,6076,Evandale,W,18675,0,W Ticket Votes,,1
QLD,172,Moncrieff,6076,Evandale,W,18510,1,"ALBERTS, Katrina",,0
QLD,172,Moncrieff,6076,Evandale,W,18511,2,"RADY, Martin",,0
QLD,172,Moncrieff,6076,Evandale,X,18677,0,X Ticket Votes,,0
QLD,172,Moncrieff,6076,Evandale,X,18508,1,"BAKER, James",,1
QLD,172,Moncrieff,6076,Evandale,X,18509,2,"FITZGERALD-BAKER, Louise",,0
QLD,172,Moncrieff,6076,Evandale,UG,17785,1,"DUGGAN, John",Independent,0
QLD,172,Moncrieff,6076,Evandale,UG,18487,2,"LOW, Pilly",Independent,0
QLD,172,Moncrieff,6076,Evandale,UG,17756,3,"REID, James Kenneth",Independent,0
QLD,172,Moncrieff,6076,Evandale,UG,18543,4,"TRAVERSARI, Marsileo Mark",Independent,0
QLD,172,Moncrieff,6076,Evandale,UG,17380,5,"DeMARCHI, Leo",Independent,0
QLD,172,Moncrieff,6076,Evandale,UG,17347,6,"PETERSEN, Robin",Independent,0
QLD,172,Moncrieff,6076,Evandale,ZZ,0,99,INFORMAL,,85
QLD,172,Moncrieff,6077,Florida Gardens,A,18662,0,A Ticket Votes,What Women Want (Australia),9
QLD,172,Moncrieff,6077,Florida Gardens,A,18181,1,"BOUSFIELD, Anne",What Women Want (Australia),0
QLD,172,Moncrieff,6077,Florida Gardens,A,18183,2,"BEUTEL, Sonya",What Women Want (Australia),0
QLD,172,Moncrieff,6077,Florida Gardens,B,18665,0,B Ticket Votes,LDP,1
QLD,172,Moncrieff,6077,Florida Gardens,B,18345,1,"HUMPHREYS, John",LDP,0
QLD,172,Moncrieff,6077,Florida Gardens,B,18348,2,"CLARK, Joseph",LDP,0
QLD,172,Moncrieff,6077,Florida Gardens,C,18673,0,C Ticket Votes,Climate Change Coalition,1
QLD,172,Moncrieff,6077,Florida Gardens,C,18502,1,"JOHNSON, Phil",Climate Change Coalition,0
QLD,172,Moncrieff,6077,Florida Gardens,C,18505,2,"POSSELT, Steve",Climate Change Coalition,0
QLD,172,Moncrieff,6077,Florida Gardens,D,18674,0,D Ticket Votes,Carers,2
QLD,172,Moncrieff,6077,Florida Gardens,D,18475,1,"MADDISON, Felicity",Carers,0
QLD,172,Moncrieff,6077,Florida Gardens,D,18477,2,"GOW, Robert",Carers,0
QLD,172,Moncrieff,6077,Florida Gardens,E,18656,0,E Ticket Votes,Senator On-Line,1
QLD,172,Moncrieff,6077,Florida Gardens,E,17359,1,"PEAKE, Ben",Senator On-Line,0
QLD,172,Moncrieff,6077,Florida Gardens,E,17360,2,"BATESON, Sharon",Senator On-Line,0
QLD,172,Moncrieff,6077,Florida Gardens,F,18659,0,F Ticket Votes,Socialist Alliance,0
QLD,172,Moncrieff,6077,Florida Gardens,F,17451,1,"WATSON, Sam",Socialist Alliance,0
QLD,172,Moncrieff,6077,Florida Gardens,F,17453,2,"TAYLOR, Amelia",Socialist Alliance,0
QLD,172,Moncrieff,6077,Florida Gardens,G,18669,0,G Ticket Votes,The Fishing Party,6
QLD,172,Moncrieff,6077,Florida Gardens,G,18360,1,"SMITH, Bob",The Fishing Party,0
QLD,172,Moncrieff,6077,Florida Gardens,G,18361,2,"STOCKER, Elizabeth",The Fishing Party,0
QLD,172,Moncrieff,6077,Florida Gardens,H,18661,0,H Ticket Votes,Family First,12
QLD,172,Moncrieff,6077,Florida Gardens,H,17811,1,"BUCHANAN, Jeff",Family First,0
QLD,172,Moncrieff,6077,Florida Gardens,H,17812,2,"SPENCER, Beryl J",Family First,0
QLD,172,Moncrieff,6077,Florida Gardens,H,17813,3,"MANNERS, Merlin",Family First,0
QLD,172,Moncrieff,6077,Florida Gardens,H,17815,4,"EATON, Cathy",Family First,0
QLD,172,Moncrieff,6077,Florida Gardens,H,17816,5,"HART, Shaun",Family First,0
QLD,172,Moncrieff,6077,Florida Gardens,H,17817,6,"BENSON-STOTT, Elizabeth",Family First,0
QLD,172,Moncrieff,6077,Florida Gardens,I,18664,0,I Ticket Votes,Democrats,8
QLD,172,Moncrieff,6077,Florida Gardens,I,18336,1,"BARTLETT, Andrew",Democrats,1
QLD,172,Moncrieff,6077,Florida Gardens,I,18339,2,"NEILL, Sharon",Democrats,0
QLD,172,Moncrieff,6077,Florida Gardens,J,18660,0,J Ticket Votes,Liberal/The Nationals,704
QLD,172,Moncrieff,6077,Florida Gardens,J,17803,1,"MACDONALD, Ian Douglas",Liberal,5
QLD,172,Moncrieff,6077,Florida Gardens,J,17804,2,"BOYCE, Sue",Liberal,0
QLD,172,Moncrieff,6077,Florida Gardens,J,17805,3,"BOSWELL, Ron",The Nationals,0
QLD,172,Moncrieff,6077,Florida Gardens,J,17806,4,"POWELL, Mark",Liberal,2
QLD,172,Moncrieff,6077,Florida Gardens,J,17807,5,"GOODWIN, David",The Nationals,0
QLD,172,Moncrieff,6077,Florida Gardens,J,17808,6,"BUCHHOLZ, Scott",The Nationals,0
QLD,172,Moncrieff,6077,Florida Gardens,K,18671,0,K Ticket Votes,,0
QLD,172,Moncrieff,6077,Florida Gardens,K,18364,1,"HACKETT-JONES, Richard",,1
QLD,172,Moncrieff,6077,Florida Gardens,K,18365,2,"RIVETT, John",,0
QLD,172,Moncrieff,6077,Florida Gardens,L,18670,0,L Ticket Votes,The Australian Shooters Party,3
QLD,172,Moncrieff,6077,Florida Gardens,L,18362,1,"FEENEY, Paul Joseph",The Australian Shooters Party,0
QLD,172,Moncrieff,6077,Florida Gardens,L,18363,2,"HRSTICH, Allen D",The Australian Shooters Party,0
QLD,172,Moncrieff,6077,Florida Gardens,M,18663,0,M Ticket Votes,The Greens,76
QLD,172,Moncrieff,6077,Florida Gardens,M,18301,1,"WATERS, Larissa",The Greens,5
QLD,172,Moncrieff,6077,Florida Gardens,M,18311,2,"LIGHT, Anja",The Greens,0
QLD,172,Moncrieff,6077,Florida Gardens,M,18315,3,"ROSIN, Darryl",The Greens,0
QLD,172,Moncrieff,6077,Florida Gardens,N,18654,0,N Ticket Votes,,0
QLD,172,Moncrieff,6077,Florida Gardens,N,17326,1,"COUPER, David Alan",,0
QLD,172,Moncrieff,6077,Florida Gardens,N,17327,2,"BROWN, Michael",,0
QLD,172,Moncrieff,6077,Florida Gardens,O,18676,0,O Ticket Votes,Australian Labor Party,242
QLD,172,Moncrieff,6077,Florida Gardens,O,17457,1,"HOGG, John Joseph",Australian Labor Party,2
QLD,172,Moncrieff,6077,Florida Gardens,O,17461,2,"MOORE, Claire",Australian Labor Party,1
QLD,172,Moncrieff,6077,Florida Gardens,O,17464,3,"FURNER, Mark",Australian Labor Party,0
QLD,172,Moncrieff,6077,Florida Gardens,O,18483,4,"O'BRIEN, Diana",Australian Labor Party,1
QLD,172,Moncrieff,6077,Florida Gardens,P,18657,0,P Ticket Votes,Australian Fishing and Lifestyle Party,4
QLD,172,Moncrieff,6077,Florida Gardens,P,17353,1,"COLLINS, Kevin",Australian Fishing and Lifestyle Party,0
QLD,172,Moncrieff,6077,Florida Gardens,P,17354,2,"DONALD, Dave",Australian Fishing and Lifestyle Party,0
QLD,172,Moncrieff,6077,Florida Gardens,Q,18666,0,Q Ticket Votes,One Nation WA,1
QLD,172,Moncrieff,6077,Florida Gardens,Q,18351,1,"NELSON, Ian J",One Nation WA,0
QLD,172,Moncrieff,6077,Florida Gardens,Q,18352,2,"ARROITA, Lew",One Nation WA,0
QLD,172,Moncrieff,6077,Florida Gardens,R,18667,0,R Ticket Votes,Pauline,19
QLD,172,Moncrieff,6077,Florida Gardens,R,18353,1,"HANSON, Pauline",Pauline,1
QLD,172,Moncrieff,6077,Florida Gardens,R,18354,2,"SAVILLE, David",Pauline,0
QLD,172,Moncrieff,6077,Florida Gardens,S,18658,0,S Ticket Votes,Citizens Electoral Council,0
QLD,172,Moncrieff,6077,Florida Gardens,S,17446,1,"PUKALLUS, Jan",Citizens Electoral Council,0
QLD,172,Moncrieff,6077,Florida Gardens,S,17447,2,"HETHERINGTON, Maurice",Citizens Electoral Council,0
QLD,172,Moncrieff,6077,Florida Gardens,T,18655,0,T Ticket Votes,Christian Democratic Party (Fred Nile Group),0
QLD,172,Moncrieff,6077,Florida Gardens,T,17350,1,"BRICE, Linda",Christian Democratic Party (Fred Nile Group),0
QLD,172,Moncrieff,6077,Florida Gardens,T,17351,2,"BRICE, Malcolm",Christian Democratic Party (Fred Nile Group),0
QLD,172,Moncrieff,6077,Florida Gardens,U,18672,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
QLD,172,Moncrieff,6077,Florida Gardens,U,18496,1,"HEALEY, Bill",Non-Custodial Parents Party (Equal Parenting),0
QLD,172,Moncrieff,6077,Florida Gardens,U,18497,2,"THOMPSON, Doug",Non-Custodial Parents Party (Equal Parenting),0
QLD,172,Moncrieff,6077,Florida Gardens,V,18668,0,V Ticket Votes,D.L.P. - Democratic Labor Party,0
QLD,172,Moncrieff,6077,Florida Gardens,V,18357,1,"JACKSON, Noel",D.L.P. - Democratic Labor Party,0
QLD,172,Moncrieff,6077,Florida Gardens,V,18359,2,"DOWLING, Brian",D.L.P. - Democratic Labor Party,0
QLD,172,Moncrieff,6077,Florida Gardens,W,18675,0,W Ticket Votes,,0
QLD,172,Moncrieff,6077,Florida Gardens,W,18510,1,"ALBERTS, Katrina",,0
QLD,172,Moncrieff,6077,Florida Gardens,W,18511,2,"RADY, Martin",,0
QLD,172,Moncrieff,6077,Florida Gardens,X,18677,0,X Ticket Votes,,0
QLD,172,Moncrieff,6077,Florida Gardens,X,18508,1,"BAKER, James",,0
QLD,172,Moncrieff,6077,Florida Gardens,X,18509,2,"FITZGERALD-BAKER, Louise",,0
QLD,172,Moncrieff,6077,Florida Gardens,UG,17785,1,"DUGGAN, John",Independent,0
QLD,172,Moncrieff,6077,Florida Gardens,UG,18487,2,"LOW, Pilly",Independent,0
QLD,172,Moncrieff,6077,Florida Gardens,UG,17756,3,"REID, James Kenneth",Independent,0
QLD,172,Moncrieff,6077,Florida Gardens,UG,18543,4,"TRAVERSARI, Marsileo Mark",Independent,0
QLD,172,Moncrieff,6077,Florida Gardens,UG,17380,5,"DeMARCHI, Leo",Independent,0
QLD,172,Moncrieff,6077,Florida Gardens,UG,17347,6,"PETERSEN, Robin",Independent,0
QLD,172,Moncrieff,6077,Florida Gardens,ZZ,0,99,INFORMAL,,17
QLD,172,Moncrieff,6078,Gilston,A,18662,0,A Ticket Votes,What Women Want (Australia),7
QLD,172,Moncrieff,6078,Gilston,A,18181,1,"BOUSFIELD, Anne",What Women Want (Australia),0
QLD,172,Moncrieff,6078,Gilston,A,18183,2,"BEUTEL, Sonya",What Women Want (Australia),0
QLD,172,Moncrieff,6078,Gilston,B,18665,0,B Ticket Votes,LDP,2
QLD,172,Moncrieff,6078,Gilston,B,18345,1,"HUMPHREYS, John",LDP,0
QLD,172,Moncrieff,6078,Gilston,B,18348,2,"CLARK, Joseph",LDP,0
QLD,172,Moncrieff,6078,Gilston,C,18673,0,C Ticket Votes,Climate Change Coalition,2
QLD,172,Moncrieff,6078,Gilston,C,18502,1,"JOHNSON, Phil",Climate Change Coalition,0
QLD,172,Moncrieff,6078,Gilston,C,18505,2,"POSSELT, Steve",Climate Change Coalition,0
QLD,172,Moncrieff,6078,Gilston,D,18674,0,D Ticket Votes,Carers,1
QLD,172,Moncrieff,6078,Gilston,D,18475,1,"MADDISON, Felicity",Carers,0
QLD,172,Moncrieff,6078,Gilston,D,18477,2,"GOW, Robert",Carers,0
QLD,172,Moncrieff,6078,Gilston,E,18656,0,E Ticket Votes,Senator On-Line,0
QLD,172,Moncrieff,6078,Gilston,E,17359,1,"PEAKE, Ben",Senator On-Line,0
QLD,172,Moncrieff,6078,Gilston,E,17360,2,"BATESON, Sharon",Senator On-Line,0
QLD,172,Moncrieff,6078,Gilston,F,18659,0,F Ticket Votes,Socialist Alliance,1
QLD,172,Moncrieff,6078,Gilston,F,17451,1,"WATSON, Sam",Socialist Alliance,0
QLD,172,Moncrieff,6078,Gilston,F,17453,2,"TAYLOR, Amelia",Socialist Alliance,0
QLD,172,Moncrieff,6078,Gilston,G,18669,0,G Ticket Votes,The Fishing Party,10
QLD,172,Moncrieff,6078,Gilston,G,18360,1,"SMITH, Bob",The Fishing Party,0
QLD,172,Moncrieff,6078,Gilston,G,18361,2,"STOCKER, Elizabeth",The Fishing Party,0
QLD,172,Moncrieff,6078,Gilston,H,18661,0,H Ticket Votes,Family First,21
QLD,172,Moncrieff,6078,Gilston,H,17811,1,"BUCHANAN, Jeff",Family First,1
QLD,172,Moncrieff,6078,Gilston,H,17812,2,"SPENCER, Beryl J",Family First,0
QLD,172,Moncrieff,6078,Gilston,H,17813,3,"MANNERS, Merlin",Family First,0
QLD,172,Moncrieff,6078,Gilston,H,17815,4,"EATON, Cathy",Family First,0
QLD,172,Moncrieff,6078,Gilston,H,17816,5,"HART, Shaun",Family First,0
QLD,172,Moncrieff,6078,Gilston,H,17817,6,"BENSON-STOTT, Elizabeth",Family First,0
QLD,172,Moncrieff,6078,Gilston,I,18664,0,I Ticket Votes,Democrats,16
QLD,172,Moncrieff,6078,Gilston,I,18336,1,"BARTLETT, Andrew",Democrats,1
QLD,172,Moncrieff,6078,Gilston,I,18339,2,"NEILL, Sharon",Democrats,0
QLD,172,Moncrieff,6078,Gilston,J,18660,0,J Ticket Votes,Liberal/The Nationals,696
QLD,172,Moncrieff,6078,Gilston,J,17803,1,"MACDONALD, Ian Douglas",Liberal,3
QLD,172,Moncrieff,6078,Gilston,J,17804,2,"BOYCE, Sue",Liberal,1
QLD,172,Moncrieff,6078,Gilston,J,17805,3,"BOSWELL, Ron",The Nationals,0
QLD,172,Moncrieff,6078,Gilston,J,17806,4,"POWELL, Mark",Liberal,0
QLD,172,Moncrieff,6078,Gilston,J,17807,5,"GOODWIN, David",The Nationals,0
QLD,172,Moncrieff,6078,Gilston,J,17808,6,"BUCHHOLZ, Scott",The Nationals,1
QLD,172,Moncrieff,6078,Gilston,K,18671,0,K Ticket Votes,,0
QLD,172,Moncrieff,6078,Gilston,K,18364,1,"HACKETT-JONES, Richard",,0
QLD,172,Moncrieff,6078,Gilston,K,18365,2,"RIVETT, John",,0
QLD,172,Moncrieff,6078,Gilston,L,18670,0,L Ticket Votes,The Australian Shooters Party,3
QLD,172,Moncrieff,6078,Gilston,L,18362,1,"FEENEY, Paul Joseph",The Australian Shooters Party,1
QLD,172,Moncrieff,6078,Gilston,L,18363,2,"HRSTICH, Allen D",The Australian Shooters Party,0
QLD,172,Moncrieff,6078,Gilston,M,18663,0,M Ticket Votes,The Greens,66
QLD,172,Moncrieff,6078,Gilston,M,18301,1,"WATERS, Larissa",The Greens,4
QLD,172,Moncrieff,6078,Gilston,M,18311,2,"LIGHT, Anja",The Greens,1
QLD,172,Moncrieff,6078,Gilston,M,18315,3,"ROSIN, Darryl",The Greens,0
QLD,172,Moncrieff,6078,Gilston,N,18654,0,N Ticket Votes,,0
QLD,172,Moncrieff,6078,Gilston,N,17326,1,"COUPER, David Alan",,0
QLD,172,Moncrieff,6078,Gilston,N,17327,2,"BROWN, Michael",,0
QLD,172,Moncrieff,6078,Gilston,O,18676,0,O Ticket Votes,Australian Labor Party,269
QLD,172,Moncrieff,6078,Gilston,O,17457,1,"HOGG, John Joseph",Australian Labor Party,3
QLD,172,Moncrieff,6078,Gilston,O,17461,2,"MOORE, Claire",Australian Labor Party,0
QLD,172,Moncrieff,6078,Gilston,O,17464,3,"FURNER, Mark",Australian Labor Party,0
QLD,172,Moncrieff,6078,Gilston,O,18483,4,"O'BRIEN, Diana",Australian Labor Party,0
QLD,172,Moncrieff,6078,Gilston,P,18657,0,P Ticket Votes,Australian Fishing and Lifestyle Party,3
QLD,172,Moncrieff,6078,Gilston,P,17353,1,"COLLINS, Kevin",Australian Fishing and Lifestyle Party,1
QLD,172,Moncrieff,6078,Gilston,P,17354,2,"DONALD, Dave",Australian Fishing and Lifestyle Party,0
QLD,172,Moncrieff,6078,Gilston,Q,18666,0,Q Ticket Votes,One Nation WA,0
QLD,172,Moncrieff,6078,Gilston,Q,18351,1,"NELSON, Ian J",One Nation WA,0
QLD,172,Moncrieff,6078,Gilston,Q,18352,2,"ARROITA, Lew",One Nation WA,0
QLD,172,Moncrieff,6078,Gilston,R,18667,0,R Ticket Votes,Pauline,21
QLD,172,Moncrieff,6078,Gilston,R,18353,1,"HANSON, Pauline",Pauline,2
QLD,172,Moncrieff,6078,Gilston,R,18354,2,"SAVILLE, David",Pauline,0
QLD,172,Moncrieff,6078,Gilston,S,18658,0,S Ticket Votes,Citizens Electoral Council,0
QLD,172,Moncrieff,6078,Gilston,S,17446,1,"PUKALLUS, Jan",Citizens Electoral Council,0
QLD,172,Moncrieff,6078,Gilston,S,17447,2,"HETHERINGTON, Maurice",Citizens Electoral Council,0
QLD,172,Moncrieff,6078,Gilston,T,18655,0,T Ticket Votes,Christian Democratic Party (Fred Nile Group),2
QLD,172,Moncrieff,6078,Gilston,T,17350,1,"BRICE, Linda",Christian Democratic Party (Fred Nile Group),0
QLD,172,Moncrieff,6078,Gilston,T,17351,2,"BRICE, Malcolm",Christian Democratic Party (Fred Nile Group),0
QLD,172,Moncrieff,6078,Gilston,U,18672,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
QLD,172,Moncrieff,6078,Gilston,U,18496,1,"HEALEY, Bill",Non-Custodial Parents Party (Equal Parenting),0
QLD,172,Moncrieff,6078,Gilston,U,18497,2,"THOMPSON, Doug",Non-Custodial Parents Party (Equal Parenting),0
QLD,172,Moncrieff,6078,Gilston,V,18668,0,V Ticket Votes,D.L.P. - Democratic Labor Party,1
QLD,172,Moncrieff,6078,Gilston,V,18357,1,"JACKSON, Noel",D.L.P. - Democratic Labor Party,0
QLD,172,Moncrieff,6078,Gilston,V,18359,2,"DOWLING, Brian",D.L.P. - Democratic Labor Party,0
QLD,172,Moncrieff,6078,Gilston,W,18675,0,W Ticket Votes,,1
QLD,172,Moncrieff,6078,Gilston,W,18510,1,"ALBERTS, Katrina",,0
QLD,172,Moncrieff,6078,Gilston,W,18511,2,"RADY, Martin",,0
QLD,172,Moncrieff,6078,Gilston,X,18677,0,X Ticket Votes,,1
QLD,172,Moncrieff,6078,Gilston,X,18508,1,"BAKER, James",,0
QLD,172,Moncrieff,6078,Gilston,X,18509,2,"FITZGERALD-BAKER, Louise",,0
QLD,172,Moncrieff,6078,Gilston,UG,17785,1,"DUGGAN, John",Independent,0
QLD,172,Moncrieff,6078,Gilston,UG,18487,2,"LOW, Pilly",Independent,0
QLD,172,Moncrieff,6078,Gilston,UG,17756,3,"REID, James Kenneth",Independent,0
QLD,172,Moncrieff,6078,Gilston,UG,18543,4,"TRAVERSARI, Marsileo Mark",Independent,0
QLD,172,Moncrieff,6078,Gilston,UG,17380,5,"DeMARCHI, Leo",Independent,0
QLD,172,Moncrieff,6078,Gilston,UG,17347,6,"PETERSEN, Robin",Independent,0
QLD,172,Moncrieff,6078,Gilston,ZZ,0,99,INFORMAL,,17
QLD,172,Moncrieff,6080,Isle Of Capri,A,18662,0,A Ticket Votes,What Women Want (Australia),16
QLD,172,Moncrieff,6080,Isle Of Capri,A,18181,1,"BOUSFIELD, Anne",What Women Want (Australia),0
