2007 Federal Election Senate First Preferences By Polling Place for Division 112 [Event:13745 Phase:FinalResults Generated:2008-09-03T12:45:20 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,112,Cook,417,Burraneer Bay,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,0
NSW,112,Cook,417,Burraneer Bay,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,2
NSW,112,Cook,417,Burraneer Bay,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,112,Cook,417,Burraneer Bay,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
NSW,112,Cook,417,Burraneer Bay,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,112,Cook,417,Burraneer Bay,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,112,Cook,417,Burraneer Bay,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,112,Cook,417,Burraneer Bay,G,18581,0,G Ticket Votes,The Greens,215
NSW,112,Cook,417,Burraneer Bay,G,17433,1,"NETTLE, Kerry",The Greens,5
NSW,112,Cook,417,Burraneer Bay,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,112,Cook,417,Burraneer Bay,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,112,Cook,417,Burraneer Bay,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,112,Cook,417,Burraneer Bay,G,17441,5,"HO, Christina",The Greens,0
NSW,112,Cook,417,Burraneer Bay,G,17442,6,"HEILPERN, Sandra",The Greens,0
NSW,112,Cook,417,Burraneer Bay,H,18599,0,H Ticket Votes,What Women Want (Australia),8
NSW,112,Cook,417,Burraneer Bay,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,112,Cook,417,Burraneer Bay,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,112,Cook,417,Burraneer Bay,I,18584,0,I Ticket Votes,LDP,1
NSW,112,Cook,417,Burraneer Bay,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,112,Cook,417,Burraneer Bay,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,112,Cook,417,Burraneer Bay,J,18579,0,J Ticket Votes,,1
NSW,112,Cook,417,Burraneer Bay,J,17444,1,"BRYCE, Ian R",,0
NSW,112,Cook,417,Burraneer Bay,J,17445,2,"AUGUST, John P",,0
NSW,112,Cook,417,Burraneer Bay,K,18591,0,K Ticket Votes,Hear Our Voice,2
NSW,112,Cook,417,Burraneer Bay,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,112,Cook,417,Burraneer Bay,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,112,Cook,417,Burraneer Bay,L,18577,0,L Ticket Votes,Senator On-Line,1
NSW,112,Cook,417,Burraneer Bay,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,112,Cook,417,Burraneer Bay,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,112,Cook,417,Burraneer Bay,M,18592,0,M Ticket Votes,Democrats,28
NSW,112,Cook,417,Burraneer Bay,M,18288,1,"SHUMACK, Lyn",Democrats,1
NSW,112,Cook,417,Burraneer Bay,M,18289,2,"KING, David",Democrats,0
NSW,112,Cook,417,Burraneer Bay,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,112,Cook,417,Burraneer Bay,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,2
NSW,112,Cook,417,Burraneer Bay,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,112,Cook,417,Burraneer Bay,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,112,Cook,417,Burraneer Bay,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,14
NSW,112,Cook,417,Burraneer Bay,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,112,Cook,417,Burraneer Bay,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,112,Cook,417,Burraneer Bay,P,18597,0,P Ticket Votes,,0
NSW,112,Cook,417,Burraneer Bay,P,18500,1,"WOLDRING, Klaas",,0
NSW,112,Cook,417,Burraneer Bay,P,18501,2,"BRADLEY, Max",,0
NSW,112,Cook,417,Burraneer Bay,Q,18594,0,Q Ticket Votes,The Fishing Party,14
NSW,112,Cook,417,Burraneer Bay,Q,18335,1,"BRIDGE, Garth",The Fishing Party,0
NSW,112,Cook,417,Burraneer Bay,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,112,Cook,417,Burraneer Bay,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),64
NSW,112,Cook,417,Burraneer Bay,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),3
NSW,112,Cook,417,Burraneer Bay,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,417,Burraneer Bay,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,417,Burraneer Bay,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,417,Burraneer Bay,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,417,Burraneer Bay,S,18586,0,S Ticket Votes,One Nation,21
NSW,112,Cook,417,Burraneer Bay,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,112,Cook,417,Burraneer Bay,S,17829,2,"WEBBER, Andrew",One Nation,0
NSW,112,Cook,417,Burraneer Bay,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,112,Cook,417,Burraneer Bay,S,17830,4,"FREW, Andy",One Nation,0
NSW,112,Cook,417,Burraneer Bay,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,112,Cook,417,Burraneer Bay,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,112,Cook,417,Burraneer Bay,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,112,Cook,417,Burraneer Bay,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,10
NSW,112,Cook,417,Burraneer Bay,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,1
NSW,112,Cook,417,Burraneer Bay,U,18270,2,"SHAW, Robert",The Australian Shooters Party,0
NSW,112,Cook,417,Burraneer Bay,U,18273,3,"MUIRHEAD, Jim",The Australian Shooters Party,0
NSW,112,Cook,417,Burraneer Bay,U,18275,4,"HESTELOW, Andrew",Australian Fishing and Lifestyle Party,0
NSW,112,Cook,417,Burraneer Bay,U,18276,5,"MORGAN, Thomas Idris",Australian Fishing and Lifestyle Party,0
NSW,112,Cook,417,Burraneer Bay,V,18576,0,V Ticket Votes,,1
NSW,112,Cook,417,Burraneer Bay,V,17217,1,"TINYOW, Walter",,0
NSW,112,Cook,417,Burraneer Bay,V,17218,2,"CHAN, Maria",,0
NSW,112,Cook,417,Burraneer Bay,W,18580,0,W Ticket Votes,Labor,894
NSW,112,Cook,417,Burraneer Bay,W,17476,1,"ARBIB, Mark",Labor,4
NSW,112,Cook,417,Burraneer Bay,W,17477,2,"CAMERON, Doug",Labor,1
NSW,112,Cook,417,Burraneer Bay,W,17478,3,"STEPHENS, Ursula",Labor,0
NSW,112,Cook,417,Burraneer Bay,W,17479,4,"ESBER, Pierre",Labor,0
NSW,112,Cook,417,Burraneer Bay,W,17481,5,"SEATON, Fiona",Labor,0
NSW,112,Cook,417,Burraneer Bay,W,17482,6,"JAMES, Pauline",Labor,0
NSW,112,Cook,417,Burraneer Bay,X,18588,0,X Ticket Votes,Socialist Equality Party,1
NSW,112,Cook,417,Burraneer Bay,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,112,Cook,417,Burraneer Bay,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,112,Cook,417,Burraneer Bay,Y,18598,0,Y Ticket Votes,Carers Alliance,15
NSW,112,Cook,417,Burraneer Bay,Y,18503,1,"CARTER, Marylou",Carers Alliance,0
NSW,112,Cook,417,Burraneer Bay,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,112,Cook,417,Burraneer Bay,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,112,Cook,417,Burraneer Bay,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,112,Cook,417,Burraneer Bay,UG,18493,1,"NADAS, Paula",Independent,0
NSW,112,Cook,417,Burraneer Bay,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,112,Cook,417,Burraneer Bay,UG,17837,3,"NERO, Silvana",Independent,0
NSW,112,Cook,417,Burraneer Bay,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,112,Cook,417,Burraneer Bay,ZZ,0,99,INFORMAL,,62
NSW,112,Cook,418,Caringbah,A,18583,0,A Ticket Votes,Liberal/Nationals,1950
NSW,112,Cook,418,Caringbah,A,17820,1,"COONAN, Helen",Liberal,5
NSW,112,Cook,418,Caringbah,A,17821,2,"WILLIAMS, John",Nationals,1
NSW,112,Cook,418,Caringbah,A,17822,3,"PAYNE, Marise",Liberal,1
NSW,112,Cook,418,Caringbah,A,17823,4,"LEES, Murray",Nationals,0
NSW,112,Cook,418,Caringbah,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,112,Cook,418,Caringbah,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,112,Cook,418,Caringbah,B,18587,0,B Ticket Votes,Citizens Electoral Council,0
NSW,112,Cook,418,Caringbah,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,112,Cook,418,Caringbah,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,112,Cook,418,Caringbah,C,18582,0,C Ticket Votes,Family First,6
NSW,112,Cook,418,Caringbah,C,17818,1,"MARKWELL, Andrew",Family First,1
NSW,112,Cook,418,Caringbah,C,17819,2,"GRAY, Kathy",Family First,0
NSW,112,Cook,418,Caringbah,D,18596,0,D Ticket Votes,Pauline,38
NSW,112,Cook,418,Caringbah,D,18498,1,"BURSTON, Brian",Pauline,1
NSW,112,Cook,418,Caringbah,D,18499,2,"CARTER, John E",Pauline,0
NSW,112,Cook,418,Caringbah,E,18593,0,E Ticket Votes,Climate Change Coalition,29
NSW,112,Cook,418,Caringbah,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,0
NSW,112,Cook,418,Caringbah,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,9
NSW,112,Cook,418,Caringbah,F,18589,0,F Ticket Votes,Socialist Alliance,1
NSW,112,Cook,418,Caringbah,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
NSW,112,Cook,418,Caringbah,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,112,Cook,418,Caringbah,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,112,Cook,418,Caringbah,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,112,Cook,418,Caringbah,G,18581,0,G Ticket Votes,The Greens,205
NSW,112,Cook,418,Caringbah,G,17433,1,"NETTLE, Kerry",The Greens,7
NSW,112,Cook,418,Caringbah,G,17435,2,"SHOEBRIDGE, David",The Greens,1
NSW,112,Cook,418,Caringbah,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,112,Cook,418,Caringbah,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,112,Cook,418,Caringbah,G,17441,5,"HO, Christina",The Greens,0
NSW,112,Cook,418,Caringbah,G,17442,6,"HEILPERN, Sandra",The Greens,0
NSW,112,Cook,418,Caringbah,H,18599,0,H Ticket Votes,What Women Want (Australia),4
NSW,112,Cook,418,Caringbah,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,112,Cook,418,Caringbah,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,112,Cook,418,Caringbah,I,18584,0,I Ticket Votes,LDP,5
NSW,112,Cook,418,Caringbah,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,112,Cook,418,Caringbah,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,112,Cook,418,Caringbah,J,18579,0,J Ticket Votes,,0
NSW,112,Cook,418,Caringbah,J,17444,1,"BRYCE, Ian R",,0
NSW,112,Cook,418,Caringbah,J,17445,2,"AUGUST, John P",,0
NSW,112,Cook,418,Caringbah,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,112,Cook,418,Caringbah,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,112,Cook,418,Caringbah,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,112,Cook,418,Caringbah,L,18577,0,L Ticket Votes,Senator On-Line,1
NSW,112,Cook,418,Caringbah,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,112,Cook,418,Caringbah,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,112,Cook,418,Caringbah,M,18592,0,M Ticket Votes,Democrats,19
NSW,112,Cook,418,Caringbah,M,18288,1,"SHUMACK, Lyn",Democrats,1
NSW,112,Cook,418,Caringbah,M,18289,2,"KING, David",Democrats,0
NSW,112,Cook,418,Caringbah,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,112,Cook,418,Caringbah,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,1
NSW,112,Cook,418,Caringbah,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,112,Cook,418,Caringbah,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,112,Cook,418,Caringbah,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,24
NSW,112,Cook,418,Caringbah,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,112,Cook,418,Caringbah,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,112,Cook,418,Caringbah,P,18597,0,P Ticket Votes,,1
NSW,112,Cook,418,Caringbah,P,18500,1,"WOLDRING, Klaas",,0
NSW,112,Cook,418,Caringbah,P,18501,2,"BRADLEY, Max",,0
NSW,112,Cook,418,Caringbah,Q,18594,0,Q Ticket Votes,The Fishing Party,0
NSW,112,Cook,418,Caringbah,Q,18335,1,"BRIDGE, Garth",The Fishing Party,0
NSW,112,Cook,418,Caringbah,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,112,Cook,418,Caringbah,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),79
NSW,112,Cook,418,Caringbah,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),3
NSW,112,Cook,418,Caringbah,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,418,Caringbah,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,418,Caringbah,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,418,Caringbah,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,418,Caringbah,S,18586,0,S Ticket Votes,One Nation,18
NSW,112,Cook,418,Caringbah,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,112,Cook,418,Caringbah,S,17829,2,"WEBBER, Andrew",One Nation,1
NSW,112,Cook,418,Caringbah,S,18307,3,"BUSSA, Peter",One Nation,0
NSW,112,Cook,418,Caringbah,S,17830,4,"FREW, Andy",One Nation,0
NSW,112,Cook,418,Caringbah,T,18595,0,T Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,112,Cook,418,Caringbah,T,18494,1,"GEREMIN, John",Non-Custodial Parents Party (Equal Parenting),0
NSW,112,Cook,418,Caringbah,T,18495,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,112,Cook,418,Caringbah,U,18585,0,U Ticket Votes,The Australian Shooters Party/Australian Fishing and Lifestyle Party,21
NSW,112,Cook,418,Caringbah,U,18268,1,"BORSAK, Robert",The Australian Shooters Party,1
NSW,112,Cook,418,Caringbah,U,18270,2,"SHAW, Robert",The Australian Shooters Party,0
NSW,112,Cook,418,Caringbah,U,18273,3,"MUIRHEAD, Jim",The Australian Shooters Party,0
NSW,112,Cook,418,Caringbah,U,18275,4,"HESTELOW, Andrew",Australian Fishing and Lifestyle Party,0
NSW,112,Cook,418,Caringbah,U,18276,5,"MORGAN, Thomas Idris",Australian Fishing and Lifestyle Party,0
NSW,112,Cook,418,Caringbah,V,18576,0,V Ticket Votes,,0
NSW,112,Cook,418,Caringbah,V,17217,1,"TINYOW, Walter",,0
NSW,112,Cook,418,Caringbah,V,17218,2,"CHAN, Maria",,0
NSW,112,Cook,418,Caringbah,W,18580,0,W Ticket Votes,Labor,993
NSW,112,Cook,418,Caringbah,W,17476,1,"ARBIB, Mark",Labor,7
NSW,112,Cook,418,Caringbah,W,17477,2,"CAMERON, Doug",Labor,0
NSW,112,Cook,418,Caringbah,W,17478,3,"STEPHENS, Ursula",Labor,1
NSW,112,Cook,418,Caringbah,W,17479,4,"ESBER, Pierre",Labor,0
NSW,112,Cook,418,Caringbah,W,17481,5,"SEATON, Fiona",Labor,1
NSW,112,Cook,418,Caringbah,W,17482,6,"JAMES, Pauline",Labor,1
NSW,112,Cook,418,Caringbah,X,18588,0,X Ticket Votes,Socialist Equality Party,2
NSW,112,Cook,418,Caringbah,X,17831,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,112,Cook,418,Caringbah,X,17833,2,"DIVJAK, Carol",Socialist Equality Party,0
NSW,112,Cook,418,Caringbah,Y,18598,0,Y Ticket Votes,Carers Alliance,10
NSW,112,Cook,418,Caringbah,Y,18503,1,"CARTER, Marylou",Carers Alliance,4
NSW,112,Cook,418,Caringbah,Y,18504,2,"BROWN, Nell",Carers Alliance,0
NSW,112,Cook,418,Caringbah,Y,18506,3,"CLARK, Katrina",Carers Alliance,0
NSW,112,Cook,418,Caringbah,Y,18507,4,"MOCKLER, Mary",Carers Alliance,0
NSW,112,Cook,418,Caringbah,UG,18493,1,"NADAS, Paula",Independent,0
NSW,112,Cook,418,Caringbah,UG,18559,2,"LEVY, Curtis",Independent,0
NSW,112,Cook,418,Caringbah,UG,17837,3,"NERO, Silvana",Independent,0
NSW,112,Cook,418,Caringbah,UG,18560,4,"STEFANAC, Jennifer",Independent,0
NSW,112,Cook,418,Caringbah,ZZ,0,99,INFORMAL,,52
NSW,112,Cook,419,Caringbah Central,A,18583,0,A Ticket Votes,Liberal/Nationals,674
NSW,112,Cook,419,Caringbah Central,A,17820,1,"COONAN, Helen",Liberal,3
NSW,112,Cook,419,Caringbah Central,A,17821,2,"WILLIAMS, John",Nationals,1
NSW,112,Cook,419,Caringbah Central,A,17822,3,"PAYNE, Marise",Liberal,0
NSW,112,Cook,419,Caringbah Central,A,17823,4,"LEES, Murray",Nationals,0
NSW,112,Cook,419,Caringbah Central,A,17824,5,"McGAHEY, Vicky",Liberal,0
NSW,112,Cook,419,Caringbah Central,A,17826,6,"CURRIE, Carolyn",Liberal,0
NSW,112,Cook,419,Caringbah Central,B,18587,0,B Ticket Votes,Citizens Electoral Council,1
NSW,112,Cook,419,Caringbah Central,B,17832,1,"LAWLER, Ann",Citizens Electoral Council,0
NSW,112,Cook,419,Caringbah Central,B,17834,2,"McCAFFREY, Ian David",Citizens Electoral Council,0
NSW,112,Cook,419,Caringbah Central,C,18582,0,C Ticket Votes,Family First,6
NSW,112,Cook,419,Caringbah Central,C,17818,1,"MARKWELL, Andrew",Family First,0
NSW,112,Cook,419,Caringbah Central,C,17819,2,"GRAY, Kathy",Family First,0
NSW,112,Cook,419,Caringbah Central,D,18596,0,D Ticket Votes,Pauline,20
NSW,112,Cook,419,Caringbah Central,D,18498,1,"BURSTON, Brian",Pauline,0
NSW,112,Cook,419,Caringbah Central,D,18499,2,"CARTER, John E",Pauline,0
NSW,112,Cook,419,Caringbah Central,E,18593,0,E Ticket Votes,Climate Change Coalition,3
NSW,112,Cook,419,Caringbah Central,E,18322,1,"NEWELL, Patrice",Climate Change Coalition,0
NSW,112,Cook,419,Caringbah Central,E,18327,2,"KRUSZELNICKI, Karl",Climate Change Coalition,0
NSW,112,Cook,419,Caringbah Central,F,18589,0,F Ticket Votes,Socialist Alliance,0
NSW,112,Cook,419,Caringbah Central,F,17835,1,"BAINBRIDGE, Alex",Socialist Alliance,0
NSW,112,Cook,419,Caringbah Central,F,17836,2,"PRICE, Susan",Socialist Alliance,0
NSW,112,Cook,419,Caringbah Central,F,17838,3,"EMANUEL, Kamala",Socialist Alliance,0
NSW,112,Cook,419,Caringbah Central,F,17839,4,"DOBSON, Tim",Socialist Alliance,0
NSW,112,Cook,419,Caringbah Central,G,18581,0,G Ticket Votes,The Greens,95
NSW,112,Cook,419,Caringbah Central,G,17433,1,"NETTLE, Kerry",The Greens,2
NSW,112,Cook,419,Caringbah Central,G,17435,2,"SHOEBRIDGE, David",The Greens,0
NSW,112,Cook,419,Caringbah Central,G,17436,3,"ELLA-DUNCAN, Marcia",The Greens,0
NSW,112,Cook,419,Caringbah Central,G,17438,4,"MUNDEY, Jack",The Greens,0
NSW,112,Cook,419,Caringbah Central,G,17441,5,"HO, Christina",The Greens,0
NSW,112,Cook,419,Caringbah Central,G,17442,6,"HEILPERN, Sandra",The Greens,0
NSW,112,Cook,419,Caringbah Central,H,18599,0,H Ticket Votes,What Women Want (Australia),7
NSW,112,Cook,419,Caringbah Central,H,18515,1,"CAINES, Justine",What Women Want (Australia),0
NSW,112,Cook,419,Caringbah Central,H,18516,2,"ROBINSON, Janette",What Women Want (Australia),0
NSW,112,Cook,419,Caringbah Central,I,18584,0,I Ticket Votes,LDP,4
NSW,112,Cook,419,Caringbah Central,I,17825,1,"PETERSEN, Terje",LDP,0
NSW,112,Cook,419,Caringbah Central,I,17827,2,"BEREGSZASZI, Janos",LDP,0
NSW,112,Cook,419,Caringbah Central,J,18579,0,J Ticket Votes,,0
NSW,112,Cook,419,Caringbah Central,J,17444,1,"BRYCE, Ian R",,0
NSW,112,Cook,419,Caringbah Central,J,17445,2,"AUGUST, John P",,0
NSW,112,Cook,419,Caringbah Central,K,18591,0,K Ticket Votes,Hear Our Voice,0
NSW,112,Cook,419,Caringbah Central,K,18294,1,"McLENNAN, Toni",Hear Our Voice,0
NSW,112,Cook,419,Caringbah Central,K,18298,2,"CARROLL, Lindsay",Hear Our Voice,0
NSW,112,Cook,419,Caringbah Central,L,18577,0,L Ticket Votes,Senator On-Line,1
NSW,112,Cook,419,Caringbah Central,L,17334,1,"REILLY, Pat",Senator On-Line,0
NSW,112,Cook,419,Caringbah Central,L,17335,2,"DER SARKISSIAN, Berge",Senator On-Line,0
NSW,112,Cook,419,Caringbah Central,M,18592,0,M Ticket Votes,Democrats,7
NSW,112,Cook,419,Caringbah Central,M,18288,1,"SHUMACK, Lyn",Democrats,1
NSW,112,Cook,419,Caringbah Central,M,18289,2,"KING, David",Democrats,0
NSW,112,Cook,419,Caringbah Central,M,18290,3,"PATERSON, Brett",Democrats,0
NSW,112,Cook,419,Caringbah Central,N,18600,0,N Ticket Votes,Conservatives for Climate and Environment,1
NSW,112,Cook,419,Caringbah Central,N,18537,1,"McNEALL, Richard Keith",Conservatives for Climate and Environment,0
NSW,112,Cook,419,Caringbah Central,N,18539,2,"MAXFIELD, James David",Conservatives for Climate and Environment,0
NSW,112,Cook,419,Caringbah Central,O,18590,0,O Ticket Votes,D.L.P. - Democratic Labor Party,11
NSW,112,Cook,419,Caringbah Central,O,18283,1,"O'DONOHUE, Michael",D.L.P. - Democratic Labor Party,0
NSW,112,Cook,419,Caringbah Central,O,18284,2,"O'DONOHUE, Terence Markham",D.L.P. - Democratic Labor Party,0
NSW,112,Cook,419,Caringbah Central,P,18597,0,P Ticket Votes,,0
NSW,112,Cook,419,Caringbah Central,P,18500,1,"WOLDRING, Klaas",,0
NSW,112,Cook,419,Caringbah Central,P,18501,2,"BRADLEY, Max",,0
NSW,112,Cook,419,Caringbah Central,Q,18594,0,Q Ticket Votes,The Fishing Party,3
NSW,112,Cook,419,Caringbah Central,Q,18335,1,"BRIDGE, Garth",The Fishing Party,1
NSW,112,Cook,419,Caringbah Central,Q,18337,2,"PATERSON, Stewart",The Fishing Party,0
NSW,112,Cook,419,Caringbah Central,R,18578,0,R Ticket Votes,Christian Democratic Party (Fred Nile Group),38
NSW,112,Cook,419,Caringbah Central,R,17428,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),6
NSW,112,Cook,419,Caringbah Central,R,17399,2,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,419,Caringbah Central,R,17400,3,"LOTFIZADEH, Allan",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,419,Caringbah Central,R,17401,4,"PILT, Peter",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,419,Caringbah Central,R,17402,5,"YORK, Bruce",Christian Democratic Party (Fred Nile Group),0
NSW,112,Cook,419,Caringbah Central,S,18586,0,S Ticket Votes,One Nation,12
NSW,112,Cook,419,Caringbah Central,S,17828,1,"NEWSON, Judith",One Nation,0
NSW,112,Cook,419,Caringbah Central,S,17829,2,"WEBBER, Andrew",One Nation,1
NSW,112,Cook,419,Caringbah Central,S,18307,3,"BUSSA, Peter",One Nation,0
