2013 Federal Election Senate First Preferences By Polling Place for Division 312 [Event:17496 Phase:FinalResults Generated:2014-10-28T11:24:35 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
WA,312,Durack,7808,Carnarvon,J,23707,2,"CUTHBERT, Simon Andrew",Secular Party of Australia,0
WA,312,Durack,7808,Carnarvon,K,25213,0,K Ticket Votes,Australian Independents,1
WA,312,Durack,7808,Carnarvon,K,24132,1,"HIGGINS, Daryl",Australian Independents,0
WA,312,Durack,7808,Carnarvon,K,24138,2,"IRVING, Patricia",Australian Independents,0
WA,312,Durack,7808,Carnarvon,L,25214,0,L Ticket Votes,The Wikileaks Party,5
WA,312,Durack,7808,Carnarvon,L,23870,1,"GEORGATOS, Gerry",The Wikileaks Party,0
WA,312,Durack,7808,Carnarvon,L,23879,2,"RAJAN, Suresh",The Wikileaks Party,0
WA,312,Durack,7808,Carnarvon,M,25221,0,M Ticket Votes,Katter's Australian Party,3
WA,312,Durack,7808,Carnarvon,M,24351,1,"FELS, Anthony James",Katter's Australian Party,0
WA,312,Durack,7808,Carnarvon,M,24356,2,"HODDINOTT, Susan",Katter's Australian Party,0
WA,312,Durack,7808,Carnarvon,N,25220,0,N Ticket Votes,Family First Party,5
WA,312,Durack,7808,Carnarvon,N,24321,1,"ROSE, Linda",Family First Party,0
WA,312,Durack,7808,Carnarvon,N,24327,2,"HENG, Henry",Family First Party,0
WA,312,Durack,7808,Carnarvon,O,25222,0,O Ticket Votes,No Carbon Tax Climate Sceptics,0
WA,312,Durack,7808,Carnarvon,O,24487,1,"BYASS, Adrian",No Carbon Tax Climate Sceptics,0
WA,312,Durack,7808,Carnarvon,O,24488,2,"DEWAR, Heather",No Carbon Tax Climate Sceptics,0
WA,312,Durack,7808,Carnarvon,P,25207,0,P Ticket Votes,Stable Population Party,1
WA,312,Durack,7808,Carnarvon,P,23433,1,"STRACHAN, Peter",Stable Population Party,0
WA,312,Durack,7808,Carnarvon,P,23435,2,"BANKS, John",Stable Population Party,0
WA,312,Durack,7808,Carnarvon,Q,25224,0,Q Ticket Votes,Stop The Greens,4
WA,312,Durack,7808,Carnarvon,Q,24710,1,"FISHLOCK, David",Stop The Greens,0
WA,312,Durack,7808,Carnarvon,Q,24712,2,"KINNINMONT, Kim Alexander",Stop The Greens,0
WA,312,Durack,7808,Carnarvon,R,25231,0,R Ticket Votes,Australian Democrats,1
WA,312,Durack,7808,Carnarvon,R,25026,1,"FERNANDEZ, Chris",Australian Democrats,0
WA,312,Durack,7808,Carnarvon,R,25027,2,"THIEL, William",Australian Democrats,0
WA,312,Durack,7808,Carnarvon,S,25215,0,S Ticket Votes,The Greens (WA),36
WA,312,Durack,7808,Carnarvon,S,23967,1,"LUDLAM, Scott",The Greens (WA),3
WA,312,Durack,7808,Carnarvon,S,23975,2,"DAVIS, Kate",The Greens (WA),0
WA,312,Durack,7808,Carnarvon,S,23980,3,"DUNCAN, Adam Nathan",The Greens (WA),0
WA,312,Durack,7808,Carnarvon,T,25205,0,T Ticket Votes,Animal Justice Party,4
WA,312,Durack,7808,Carnarvon,T,23179,1,"LOVE, Katrina",Animal Justice Party,0
WA,312,Durack,7808,Carnarvon,T,23180,2,"SUTTON, Alicia",Animal Justice Party,0
WA,312,Durack,7808,Carnarvon,U,25217,0,U Ticket Votes,The Nationals,172
WA,312,Durack,7808,Carnarvon,U,24254,1,"WIRRPANDA, David",The Nationals,4
WA,312,Durack,7808,Carnarvon,U,24258,2,"EAGLES, David",The Nationals,0
WA,312,Durack,7808,Carnarvon,V,25208,0,V Ticket Votes,Australian Fishing and Lifestyle Party,3
WA,312,Durack,7808,Carnarvon,V,23603,1,"EDWARDS, Jay",Australian Fishing and Lifestyle Party,2
WA,312,Durack,7808,Carnarvon,V,23604,2,"FINLAYSON, Ross",Australian Fishing and Lifestyle Party,0
WA,312,Durack,7808,Carnarvon,W,25227,0,W Ticket Votes,Australian Motoring Enthusiast Party,4
WA,312,Durack,7808,Carnarvon,W,24742,1,"HOWLETT, Richie",Australian Motoring Enthusiast Party,0
WA,312,Durack,7808,Carnarvon,W,24743,2,"YOUNG, Sharon",Australian Motoring Enthusiast Party,0
WA,312,Durack,7808,Carnarvon,X,25229,0,X Ticket Votes,Australian Sports Party,1
WA,312,Durack,7808,Carnarvon,X,24842,1,"DROPULICH, Wayne",Australian Sports Party,1
WA,312,Durack,7808,Carnarvon,X,24843,2,"LACKOVIC, Al",Australian Sports Party,0
WA,312,Durack,7808,Carnarvon,Y,25212,0,Y Ticket Votes,Rise Up Australia Party,2
WA,312,Durack,7808,Carnarvon,Y,23963,1,"FOREMAN, Jane",Rise Up Australia Party,2
WA,312,Durack,7808,Carnarvon,Y,23970,2,"BENNETT, Joanne",Rise Up Australia Party,0
WA,312,Durack,7808,Carnarvon,Z,25216,0,Z Ticket Votes,Australian Labor Party,212
WA,312,Durack,7808,Carnarvon,Z,24284,1,"BULLOCK, Joe",Australian Labor Party,6
WA,312,Durack,7808,Carnarvon,Z,24289,2,"PRATT, Louise",Australian Labor Party,1
WA,312,Durack,7808,Carnarvon,Z,24299,3,"FOSTER, Peter Allan",Australian Labor Party,0
WA,312,Durack,7808,Carnarvon,Z,24305,4,"ALI, Suliman Mohamed",Australian Labor Party,0
WA,312,Durack,7808,Carnarvon,AA,25211,0,AA Ticket Votes,Liberal,229
WA,312,Durack,7808,Carnarvon,AA,23885,1,"JOHNSTON, David",Liberal,2
WA,312,Durack,7808,Carnarvon,AA,23893,2,"CASH, Michaelia",Liberal,0
WA,312,Durack,7808,Carnarvon,AA,23901,3,"REYNOLDS, Linda",Liberal,1
WA,312,Durack,7808,Carnarvon,AA,23909,4,"BROCKMAN, Slade",Liberal,0
WA,312,Durack,7808,Carnarvon,AA,23916,5,"THOMAS, Steven",Liberal,0
WA,312,Durack,7808,Carnarvon,AA,23939,6,"OUGHTON, Chris",Liberal,0
WA,312,Durack,7808,Carnarvon,UG,24486,1,"FARMER, Robert Malcolm",One Nation,2
WA,312,Durack,7808,Carnarvon,ZZ,0,99,INFORMAL,,49
WA,312,Durack,7809,Carnarvon East,A,25225,0,A Ticket Votes,Smokers Rights,4
WA,312,Durack,7809,Carnarvon East,A,24717,1,"KATZ-BARBER, Max",Smokers Rights,0
WA,312,Durack,7809,Carnarvon East,A,24719,2,"DI RADO, Daniel",Smokers Rights,0
WA,312,Durack,7809,Carnarvon East,B,25223,0,B Ticket Votes,Liberal Democrats,47
WA,312,Durack,7809,Carnarvon East,B,24701,1,"FRYAR, Jim",Liberal Democrats,1
WA,312,Durack,7809,Carnarvon East,B,24705,2,"HAMILTON, Neil",Liberal Democrats,0
WA,312,Durack,7809,Carnarvon East,C,25219,0,C Ticket Votes,Australian Christians,1
WA,312,Durack,7809,Carnarvon East,C,24264,1,"van BURGEL, Jamie",Australian Christians,1
WA,312,Durack,7809,Carnarvon East,C,24266,2,"MOSELEY, Justin",Australian Christians,0
WA,312,Durack,7809,Carnarvon East,D,25230,0,D Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,9
WA,312,Durack,7809,Carnarvon East,D,25020,1,"BALDERSTONE, Michael",Help End Marijuana Prohibition (HEMP) Party,1
WA,312,Durack,7809,Carnarvon East,D,25023,2,"MOYLAN, Tayla",Help End Marijuana Prohibition (HEMP) Party,0
WA,312,Durack,7809,Carnarvon East,E,25218,0,E Ticket Votes,Socialist Equality Party,0
WA,312,Durack,7809,Carnarvon East,E,24208,1,"SYMONDS, Peter",Socialist Equality Party,0
WA,312,Durack,7809,Carnarvon East,E,24214,2,"LOPEZ, Joe",Socialist Equality Party,0
WA,312,Durack,7809,Carnarvon East,F,25209,0,F Ticket Votes,Palmer United Party,25
WA,312,Durack,7809,Carnarvon East,F,23607,1,"WANG, Zhenya",Palmer United Party,0
WA,312,Durack,7809,Carnarvon East,F,23609,2,"TERBLANCHE, Chamonix",Palmer United Party,1
WA,312,Durack,7809,Carnarvon East,G,25206,0,G Ticket Votes,Shooters and Fishers,44
WA,312,Durack,7809,Carnarvon East,G,23229,1,"BOW, Murray",Shooters and Fishers,1
WA,312,Durack,7809,Carnarvon East,G,23230,2,"PARKES, John David",Shooters and Fishers,0
WA,312,Durack,7809,Carnarvon East,H,25226,0,H Ticket Votes,Australian Voice Party,1
WA,312,Durack,7809,Carnarvon East,H,24728,1,"PARKES, Brian W",Australian Voice Party,0
WA,312,Durack,7809,Carnarvon East,H,24732,2,"BUTLER, Sean",Australian Voice Party,0
WA,312,Durack,7809,Carnarvon East,I,25228,0,I Ticket Votes,Sex Party,10
WA,312,Durack,7809,Carnarvon East,I,24792,1,"PALMER, Steve",Sex Party,1
WA,312,Durack,7809,Carnarvon East,I,24795,2,"COLEMAN, Mark",Sex Party,0
WA,312,Durack,7809,Carnarvon East,J,25210,0,J Ticket Votes,Secular Party of Australia,1
WA,312,Durack,7809,Carnarvon East,J,23705,1,"ATKINS, Edward",Secular Party of Australia,0
WA,312,Durack,7809,Carnarvon East,J,23707,2,"CUTHBERT, Simon Andrew",Secular Party of Australia,0
WA,312,Durack,7809,Carnarvon East,K,25213,0,K Ticket Votes,Australian Independents,5
WA,312,Durack,7809,Carnarvon East,K,24132,1,"HIGGINS, Daryl",Australian Independents,0
WA,312,Durack,7809,Carnarvon East,K,24138,2,"IRVING, Patricia",Australian Independents,0
WA,312,Durack,7809,Carnarvon East,L,25214,0,L Ticket Votes,The Wikileaks Party,3
WA,312,Durack,7809,Carnarvon East,L,23870,1,"GEORGATOS, Gerry",The Wikileaks Party,1
WA,312,Durack,7809,Carnarvon East,L,23879,2,"RAJAN, Suresh",The Wikileaks Party,0
WA,312,Durack,7809,Carnarvon East,M,25221,0,M Ticket Votes,Katter's Australian Party,8
WA,312,Durack,7809,Carnarvon East,M,24351,1,"FELS, Anthony James",Katter's Australian Party,0
WA,312,Durack,7809,Carnarvon East,M,24356,2,"HODDINOTT, Susan",Katter's Australian Party,1
WA,312,Durack,7809,Carnarvon East,N,25220,0,N Ticket Votes,Family First Party,4
WA,312,Durack,7809,Carnarvon East,N,24321,1,"ROSE, Linda",Family First Party,0
WA,312,Durack,7809,Carnarvon East,N,24327,2,"HENG, Henry",Family First Party,0
WA,312,Durack,7809,Carnarvon East,O,25222,0,O Ticket Votes,No Carbon Tax Climate Sceptics,2
WA,312,Durack,7809,Carnarvon East,O,24487,1,"BYASS, Adrian",No Carbon Tax Climate Sceptics,0
WA,312,Durack,7809,Carnarvon East,O,24488,2,"DEWAR, Heather",No Carbon Tax Climate Sceptics,0
WA,312,Durack,7809,Carnarvon East,P,25207,0,P Ticket Votes,Stable Population Party,1
WA,312,Durack,7809,Carnarvon East,P,23433,1,"STRACHAN, Peter",Stable Population Party,0
WA,312,Durack,7809,Carnarvon East,P,23435,2,"BANKS, John",Stable Population Party,0
WA,312,Durack,7809,Carnarvon East,Q,25224,0,Q Ticket Votes,Stop The Greens,0
WA,312,Durack,7809,Carnarvon East,Q,24710,1,"FISHLOCK, David",Stop The Greens,0
WA,312,Durack,7809,Carnarvon East,Q,24712,2,"KINNINMONT, Kim Alexander",Stop The Greens,0
WA,312,Durack,7809,Carnarvon East,R,25231,0,R Ticket Votes,Australian Democrats,0
WA,312,Durack,7809,Carnarvon East,R,25026,1,"FERNANDEZ, Chris",Australian Democrats,0
WA,312,Durack,7809,Carnarvon East,R,25027,2,"THIEL, William",Australian Democrats,0
WA,312,Durack,7809,Carnarvon East,S,25215,0,S Ticket Votes,The Greens (WA),25
WA,312,Durack,7809,Carnarvon East,S,23967,1,"LUDLAM, Scott",The Greens (WA),1
WA,312,Durack,7809,Carnarvon East,S,23975,2,"DAVIS, Kate",The Greens (WA),0
WA,312,Durack,7809,Carnarvon East,S,23980,3,"DUNCAN, Adam Nathan",The Greens (WA),0
WA,312,Durack,7809,Carnarvon East,T,25205,0,T Ticket Votes,Animal Justice Party,4
WA,312,Durack,7809,Carnarvon East,T,23179,1,"LOVE, Katrina",Animal Justice Party,0
WA,312,Durack,7809,Carnarvon East,T,23180,2,"SUTTON, Alicia",Animal Justice Party,0
WA,312,Durack,7809,Carnarvon East,U,25217,0,U Ticket Votes,The Nationals,176
WA,312,Durack,7809,Carnarvon East,U,24254,1,"WIRRPANDA, David",The Nationals,7
WA,312,Durack,7809,Carnarvon East,U,24258,2,"EAGLES, David",The Nationals,0
WA,312,Durack,7809,Carnarvon East,V,25208,0,V Ticket Votes,Australian Fishing and Lifestyle Party,7
WA,312,Durack,7809,Carnarvon East,V,23603,1,"EDWARDS, Jay",Australian Fishing and Lifestyle Party,1
WA,312,Durack,7809,Carnarvon East,V,23604,2,"FINLAYSON, Ross",Australian Fishing and Lifestyle Party,0
WA,312,Durack,7809,Carnarvon East,W,25227,0,W Ticket Votes,Australian Motoring Enthusiast Party,1
WA,312,Durack,7809,Carnarvon East,W,24742,1,"HOWLETT, Richie",Australian Motoring Enthusiast Party,0
WA,312,Durack,7809,Carnarvon East,W,24743,2,"YOUNG, Sharon",Australian Motoring Enthusiast Party,0
WA,312,Durack,7809,Carnarvon East,X,25229,0,X Ticket Votes,Australian Sports Party,1
WA,312,Durack,7809,Carnarvon East,X,24842,1,"DROPULICH, Wayne",Australian Sports Party,0
WA,312,Durack,7809,Carnarvon East,X,24843,2,"LACKOVIC, Al",Australian Sports Party,0
WA,312,Durack,7809,Carnarvon East,Y,25212,0,Y Ticket Votes,Rise Up Australia Party,4
WA,312,Durack,7809,Carnarvon East,Y,23963,1,"FOREMAN, Jane",Rise Up Australia Party,0
WA,312,Durack,7809,Carnarvon East,Y,23970,2,"BENNETT, Joanne",Rise Up Australia Party,0
WA,312,Durack,7809,Carnarvon East,Z,25216,0,Z Ticket Votes,Australian Labor Party,181
WA,312,Durack,7809,Carnarvon East,Z,24284,1,"BULLOCK, Joe",Australian Labor Party,3
WA,312,Durack,7809,Carnarvon East,Z,24289,2,"PRATT, Louise",Australian Labor Party,0
WA,312,Durack,7809,Carnarvon East,Z,24299,3,"FOSTER, Peter Allan",Australian Labor Party,1
WA,312,Durack,7809,Carnarvon East,Z,24305,4,"ALI, Suliman Mohamed",Australian Labor Party,0
WA,312,Durack,7809,Carnarvon East,AA,25211,0,AA Ticket Votes,Liberal,280
WA,312,Durack,7809,Carnarvon East,AA,23885,1,"JOHNSTON, David",Liberal,1
WA,312,Durack,7809,Carnarvon East,AA,23893,2,"CASH, Michaelia",Liberal,1
WA,312,Durack,7809,Carnarvon East,AA,23901,3,"REYNOLDS, Linda",Liberal,0
WA,312,Durack,7809,Carnarvon East,AA,23909,4,"BROCKMAN, Slade",Liberal,1
WA,312,Durack,7809,Carnarvon East,AA,23916,5,"THOMAS, Steven",Liberal,0
WA,312,Durack,7809,Carnarvon East,AA,23939,6,"OUGHTON, Chris",Liberal,0
WA,312,Durack,7809,Carnarvon East,UG,24486,1,"FARMER, Robert Malcolm",One Nation,0
WA,312,Durack,7809,Carnarvon East,ZZ,0,99,INFORMAL,,15
WA,312,Durack,7815,Port Hedland - Cooke Point,A,25225,0,A Ticket Votes,Smokers Rights,1
WA,312,Durack,7815,Port Hedland - Cooke Point,A,24717,1,"KATZ-BARBER, Max",Smokers Rights,0
WA,312,Durack,7815,Port Hedland - Cooke Point,A,24719,2,"DI RADO, Daniel",Smokers Rights,0
WA,312,Durack,7815,Port Hedland - Cooke Point,B,25223,0,B Ticket Votes,Liberal Democrats,22
WA,312,Durack,7815,Port Hedland - Cooke Point,B,24701,1,"FRYAR, Jim",Liberal Democrats,0
WA,312,Durack,7815,Port Hedland - Cooke Point,B,24705,2,"HAMILTON, Neil",Liberal Democrats,0
WA,312,Durack,7815,Port Hedland - Cooke Point,C,25219,0,C Ticket Votes,Australian Christians,5
WA,312,Durack,7815,Port Hedland - Cooke Point,C,24264,1,"van BURGEL, Jamie",Australian Christians,0
WA,312,Durack,7815,Port Hedland - Cooke Point,C,24266,2,"MOSELEY, Justin",Australian Christians,0
WA,312,Durack,7815,Port Hedland - Cooke Point,D,25230,0,D Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,2
