2010 Federal Election Senate First Preferences By Polling Place for Division 115 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:03:10 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,115,Dobell,573,Shelly Beach,V,21178,1,"SWANE, Greg",Family First,2
NSW,115,Dobell,573,Shelly Beach,V,21182,2,"LAMB, Phil",Family First,0
NSW,115,Dobell,573,Shelly Beach,W,22206,0,W Ticket Votes,Labor,1029
NSW,115,Dobell,573,Shelly Beach,W,21012,1,"FAULKNER, John",Labor,6
NSW,115,Dobell,573,Shelly Beach,W,21016,2,"THISTLETHWAITE, Matthew",Labor,1
NSW,115,Dobell,573,Shelly Beach,W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,115,Dobell,573,Shelly Beach,W,21020,4,"MURNAIN, Anne",Labor,0
NSW,115,Dobell,573,Shelly Beach,W,21022,5,"SEATON, Fiona",Labor,0
NSW,115,Dobell,573,Shelly Beach,W,21025,6,"McDERMOTT, Hugh",Labor,1
NSW,115,Dobell,573,Shelly Beach,X,22231,0,X Ticket Votes,,1
NSW,115,Dobell,573,Shelly Beach,X,21995,1,"STEFANAC, Jennifer",,0
NSW,115,Dobell,573,Shelly Beach,X,21997,2,"COOLEY, Tucky Tania",,0
NSW,115,Dobell,573,Shelly Beach,Y,22228,0,Y Ticket Votes,Carers Alliance,5
NSW,115,Dobell,573,Shelly Beach,Y,21984,1,"CARTER, Marylou",Carers Alliance,2
NSW,115,Dobell,573,Shelly Beach,Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,115,Dobell,573,Shelly Beach,Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),41
NSW,115,Dobell,573,Shelly Beach,Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),1
NSW,115,Dobell,573,Shelly Beach,Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,115,Dobell,573,Shelly Beach,Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),1
NSW,115,Dobell,573,Shelly Beach,AA,22210,0,AA Ticket Votes,Liberal/Nationals,879
NSW,115,Dobell,573,Shelly Beach,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,3
NSW,115,Dobell,573,Shelly Beach,AA,21766,2,"HEFFERNAN, William",Liberal,3
NSW,115,Dobell,573,Shelly Beach,AA,21768,3,"NASH, Fiona",The Nationals,1
NSW,115,Dobell,573,Shelly Beach,AA,21771,4,"HUGHES, Hollie",Liberal,1
NSW,115,Dobell,573,Shelly Beach,AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,115,Dobell,573,Shelly Beach,AA,21776,6,"BILIC, George",Liberal,1
NSW,115,Dobell,573,Shelly Beach,AB,22221,0,AB Ticket Votes,,0
NSW,115,Dobell,573,Shelly Beach,AB,21901,1,"ECKFORD, Michael",,0
NSW,115,Dobell,573,Shelly Beach,AB,21902,2,"STEVENS, Criselee",,0
NSW,115,Dobell,573,Shelly Beach,AC,22225,0,AC Ticket Votes,One Nation,11
NSW,115,Dobell,573,Shelly Beach,AC,21824,1,"WEBBER, Andrew",One Nation,2
NSW,115,Dobell,573,Shelly Beach,AC,21827,2,"BRETT, John",One Nation,0
NSW,115,Dobell,573,Shelly Beach,AD,22208,0,AD Ticket Votes,The Greens,239
NSW,115,Dobell,573,Shelly Beach,AD,21147,1,"RHIANNON, Lee",The Greens,6
NSW,115,Dobell,573,Shelly Beach,AD,21677,2,"McILROY, Keith",The Greens,0
NSW,115,Dobell,573,Shelly Beach,AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,1
NSW,115,Dobell,573,Shelly Beach,AD,21160,4,"SWIFT, Harriett",The Greens,0
NSW,115,Dobell,573,Shelly Beach,AD,21163,5,"MORRISSEY, Simone",The Greens,1
NSW,115,Dobell,573,Shelly Beach,AD,21169,6,"KANAK, Dominic Wy",The Greens,0
NSW,115,Dobell,573,Shelly Beach,AE,22234,0,AE Ticket Votes,,1
NSW,115,Dobell,573,Shelly Beach,AE,22202,1,"KERNOT, Cheryl",,1
NSW,115,Dobell,573,Shelly Beach,AE,22201,2,"CANT, Simon",,0
NSW,115,Dobell,573,Shelly Beach,AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),60
NSW,115,Dobell,573,Shelly Beach,AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),1
NSW,115,Dobell,573,Shelly Beach,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,115,Dobell,573,Shelly Beach,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,115,Dobell,573,Shelly Beach,UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,115,Dobell,573,Shelly Beach,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,115,Dobell,573,Shelly Beach,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,115,Dobell,573,Shelly Beach,UG,21268,4,"PAPE, Bryan",Independent,0
NSW,115,Dobell,573,Shelly Beach,UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,115,Dobell,573,Shelly Beach,ZZ,0,99,INFORMAL,,126
NSW,115,Dobell,574,Bateau Bay East,A,22214,0,A Ticket Votes,Socialist Alliance,9
NSW,115,Dobell,574,Bateau Bay East,A,21446,1,"EVANS, Rachel",Socialist Alliance,1
NSW,115,Dobell,574,Bateau Bay East,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,115,Dobell,574,Bateau Bay East,B,22230,0,B Ticket Votes,,0
NSW,115,Dobell,574,Bateau Bay East,B,22023,1,"HODGES, Robert",,0
NSW,115,Dobell,574,Bateau Bay East,B,22024,2,"FRIER, Bob",,0
NSW,115,Dobell,574,Bateau Bay East,C,22224,0,C Ticket Votes,,0
NSW,115,Dobell,574,Bateau Bay East,C,21904,1,"ROBINSON, Tony",,0
NSW,115,Dobell,574,Bateau Bay East,C,21907,2,"SELBY, Noel",,0
NSW,115,Dobell,574,Bateau Bay East,D,22215,0,D Ticket Votes,,0
NSW,115,Dobell,574,Bateau Bay East,D,21429,1,"HODGES, Darrin",,0
NSW,115,Dobell,574,Bateau Bay East,D,21430,2,"FOLKES, Nick",,0
NSW,115,Dobell,574,Bateau Bay East,E,22220,0,E Ticket Votes,Building Australia,5
NSW,115,Dobell,574,Bateau Bay East,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,115,Dobell,574,Bateau Bay East,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,115,Dobell,574,Bateau Bay East,F,22212,0,F Ticket Votes,Senator On-Line,1
NSW,115,Dobell,574,Bateau Bay East,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,115,Dobell,574,Bateau Bay East,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,115,Dobell,574,Bateau Bay East,G,22222,0,G Ticket Votes,Communist,1
NSW,115,Dobell,574,Bateau Bay East,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,115,Dobell,574,Bateau Bay East,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,115,Dobell,574,Bateau Bay East,H,22233,0,H Ticket Votes,,0
NSW,115,Dobell,574,Bateau Bay East,H,22021,1,"BLOOM, Nadia",,0
NSW,115,Dobell,574,Bateau Bay East,H,22022,2,"IRELAND, Bede",,0
NSW,115,Dobell,574,Bateau Bay East,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,1
NSW,115,Dobell,574,Bateau Bay East,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,115,Dobell,574,Bateau Bay East,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,115,Dobell,574,Bateau Bay East,J,22219,0,J Ticket Votes,Australian Democrats,7
NSW,115,Dobell,574,Bateau Bay East,J,21733,1,"CLANCY, Fiona",Australian Democrats,0
NSW,115,Dobell,574,Bateau Bay East,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,115,Dobell,574,Bateau Bay East,K,22218,0,K Ticket Votes,,0
NSW,115,Dobell,574,Bateau Bay East,K,21714,1,"SAMPSON, Meg",,0
NSW,115,Dobell,574,Bateau Bay East,K,21718,2,"HINCHCLIFFE, J",,0
NSW,115,Dobell,574,Bateau Bay East,L,22232,0,L Ticket Votes,,0
NSW,115,Dobell,574,Bateau Bay East,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,115,Dobell,574,Bateau Bay East,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,115,Dobell,574,Bateau Bay East,M,22207,0,M Ticket Votes,The Climate Sceptics,0
NSW,115,Dobell,574,Bateau Bay East,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,0
NSW,115,Dobell,574,Bateau Bay East,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,115,Dobell,574,Bateau Bay East,N,22213,0,N Ticket Votes,Secular Party of Australia,1
NSW,115,Dobell,574,Bateau Bay East,N,21229,1,"BRYCE, Ian",Secular Party of Australia,0
NSW,115,Dobell,574,Bateau Bay East,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,115,Dobell,574,Bateau Bay East,O,22216,0,O Ticket Votes,Shooters and Fishers,30
NSW,115,Dobell,574,Bateau Bay East,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,3
NSW,115,Dobell,574,Bateau Bay East,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,115,Dobell,574,Bateau Bay East,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,24
NSW,115,Dobell,574,Bateau Bay East,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,115,Dobell,574,Bateau Bay East,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,115,Dobell,574,Bateau Bay East,Q,22203,0,Q Ticket Votes,Australian Sex Party,35
NSW,115,Dobell,574,Bateau Bay East,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,2
NSW,115,Dobell,574,Bateau Bay East,Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,115,Dobell,574,Bateau Bay East,Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,0
NSW,115,Dobell,574,Bateau Bay East,R,22227,0,R Ticket Votes,,0
NSW,115,Dobell,574,Bateau Bay East,R,21993,1,"BARKER, David",,0
NSW,115,Dobell,574,Bateau Bay East,R,21994,2,"ZUREIK, S G",,0
NSW,115,Dobell,574,Bateau Bay East,S,22204,0,S Ticket Votes,Socialist Equality Party,1
NSW,115,Dobell,574,Bateau Bay East,S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,115,Dobell,574,Bateau Bay East,S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,115,Dobell,574,Bateau Bay East,T,22223,0,T Ticket Votes,,1
NSW,115,Dobell,574,Bateau Bay East,T,21908,1,"BOURKE, William",,0
NSW,115,Dobell,574,Bateau Bay East,T,21910,2,"O'CONNOR, Mark",,0
NSW,115,Dobell,574,Bateau Bay East,U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),1
NSW,115,Dobell,574,Bateau Bay East,U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),0
NSW,115,Dobell,574,Bateau Bay East,U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,115,Dobell,574,Bateau Bay East,V,22209,0,V Ticket Votes,Family First,33
NSW,115,Dobell,574,Bateau Bay East,V,21178,1,"SWANE, Greg",Family First,1
NSW,115,Dobell,574,Bateau Bay East,V,21182,2,"LAMB, Phil",Family First,0
NSW,115,Dobell,574,Bateau Bay East,W,22206,0,W Ticket Votes,Labor,863
NSW,115,Dobell,574,Bateau Bay East,W,21012,1,"FAULKNER, John",Labor,2
NSW,115,Dobell,574,Bateau Bay East,W,21016,2,"THISTLETHWAITE, Matthew",Labor,0
NSW,115,Dobell,574,Bateau Bay East,W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,115,Dobell,574,Bateau Bay East,W,21020,4,"MURNAIN, Anne",Labor,0
NSW,115,Dobell,574,Bateau Bay East,W,21022,5,"SEATON, Fiona",Labor,0
NSW,115,Dobell,574,Bateau Bay East,W,21025,6,"McDERMOTT, Hugh",Labor,0
NSW,115,Dobell,574,Bateau Bay East,X,22231,0,X Ticket Votes,,2
NSW,115,Dobell,574,Bateau Bay East,X,21995,1,"STEFANAC, Jennifer",,0
NSW,115,Dobell,574,Bateau Bay East,X,21997,2,"COOLEY, Tucky Tania",,0
NSW,115,Dobell,574,Bateau Bay East,Y,22228,0,Y Ticket Votes,Carers Alliance,4
NSW,115,Dobell,574,Bateau Bay East,Y,21984,1,"CARTER, Marylou",Carers Alliance,0
NSW,115,Dobell,574,Bateau Bay East,Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,115,Dobell,574,Bateau Bay East,Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),39
NSW,115,Dobell,574,Bateau Bay East,Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),3
NSW,115,Dobell,574,Bateau Bay East,Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,115,Dobell,574,Bateau Bay East,Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,115,Dobell,574,Bateau Bay East,AA,22210,0,AA Ticket Votes,Liberal/Nationals,753
NSW,115,Dobell,574,Bateau Bay East,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,4
NSW,115,Dobell,574,Bateau Bay East,AA,21766,2,"HEFFERNAN, William",Liberal,1
NSW,115,Dobell,574,Bateau Bay East,AA,21768,3,"NASH, Fiona",The Nationals,0
NSW,115,Dobell,574,Bateau Bay East,AA,21771,4,"HUGHES, Hollie",Liberal,1
NSW,115,Dobell,574,Bateau Bay East,AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,115,Dobell,574,Bateau Bay East,AA,21776,6,"BILIC, George",Liberal,0
NSW,115,Dobell,574,Bateau Bay East,AB,22221,0,AB Ticket Votes,,1
NSW,115,Dobell,574,Bateau Bay East,AB,21901,1,"ECKFORD, Michael",,0
NSW,115,Dobell,574,Bateau Bay East,AB,21902,2,"STEVENS, Criselee",,0
NSW,115,Dobell,574,Bateau Bay East,AC,22225,0,AC Ticket Votes,One Nation,8
NSW,115,Dobell,574,Bateau Bay East,AC,21824,1,"WEBBER, Andrew",One Nation,0
NSW,115,Dobell,574,Bateau Bay East,AC,21827,2,"BRETT, John",One Nation,0
NSW,115,Dobell,574,Bateau Bay East,AD,22208,0,AD Ticket Votes,The Greens,196
NSW,115,Dobell,574,Bateau Bay East,AD,21147,1,"RHIANNON, Lee",The Greens,6
NSW,115,Dobell,574,Bateau Bay East,AD,21677,2,"McILROY, Keith",The Greens,0
NSW,115,Dobell,574,Bateau Bay East,AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,0
NSW,115,Dobell,574,Bateau Bay East,AD,21160,4,"SWIFT, Harriett",The Greens,0
NSW,115,Dobell,574,Bateau Bay East,AD,21163,5,"MORRISSEY, Simone",The Greens,0
NSW,115,Dobell,574,Bateau Bay East,AD,21169,6,"KANAK, Dominic Wy",The Greens,0
NSW,115,Dobell,574,Bateau Bay East,AE,22234,0,AE Ticket Votes,,3
NSW,115,Dobell,574,Bateau Bay East,AE,22202,1,"KERNOT, Cheryl",,2
NSW,115,Dobell,574,Bateau Bay East,AE,22201,2,"CANT, Simon",,0
NSW,115,Dobell,574,Bateau Bay East,AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),41
NSW,115,Dobell,574,Bateau Bay East,AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),0
NSW,115,Dobell,574,Bateau Bay East,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,115,Dobell,574,Bateau Bay East,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,115,Dobell,574,Bateau Bay East,UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,115,Dobell,574,Bateau Bay East,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,115,Dobell,574,Bateau Bay East,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,115,Dobell,574,Bateau Bay East,UG,21268,4,"PAPE, Bryan",Independent,0
NSW,115,Dobell,574,Bateau Bay East,UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,115,Dobell,574,Bateau Bay East,ZZ,0,99,INFORMAL,,64
NSW,115,Dobell,575,Bateau Bay Central,A,22214,0,A Ticket Votes,Socialist Alliance,3
NSW,115,Dobell,575,Bateau Bay Central,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,115,Dobell,575,Bateau Bay Central,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,115,Dobell,575,Bateau Bay Central,B,22230,0,B Ticket Votes,,0
NSW,115,Dobell,575,Bateau Bay Central,B,22023,1,"HODGES, Robert",,0
NSW,115,Dobell,575,Bateau Bay Central,B,22024,2,"FRIER, Bob",,0
NSW,115,Dobell,575,Bateau Bay Central,C,22224,0,C Ticket Votes,,0
NSW,115,Dobell,575,Bateau Bay Central,C,21904,1,"ROBINSON, Tony",,0
NSW,115,Dobell,575,Bateau Bay Central,C,21907,2,"SELBY, Noel",,0
NSW,115,Dobell,575,Bateau Bay Central,D,22215,0,D Ticket Votes,,1
NSW,115,Dobell,575,Bateau Bay Central,D,21429,1,"HODGES, Darrin",,0
NSW,115,Dobell,575,Bateau Bay Central,D,21430,2,"FOLKES, Nick",,0
NSW,115,Dobell,575,Bateau Bay Central,E,22220,0,E Ticket Votes,Building Australia,11
NSW,115,Dobell,575,Bateau Bay Central,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,115,Dobell,575,Bateau Bay Central,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,115,Dobell,575,Bateau Bay Central,F,22212,0,F Ticket Votes,Senator On-Line,0
NSW,115,Dobell,575,Bateau Bay Central,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,115,Dobell,575,Bateau Bay Central,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,115,Dobell,575,Bateau Bay Central,G,22222,0,G Ticket Votes,Communist,0
NSW,115,Dobell,575,Bateau Bay Central,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,115,Dobell,575,Bateau Bay Central,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,115,Dobell,575,Bateau Bay Central,H,22233,0,H Ticket Votes,,0
NSW,115,Dobell,575,Bateau Bay Central,H,22021,1,"BLOOM, Nadia",,0
NSW,115,Dobell,575,Bateau Bay Central,H,22022,2,"IRELAND, Bede",,0
NSW,115,Dobell,575,Bateau Bay Central,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,0
NSW,115,Dobell,575,Bateau Bay Central,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,115,Dobell,575,Bateau Bay Central,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,115,Dobell,575,Bateau Bay Central,J,22219,0,J Ticket Votes,Australian Democrats,2
NSW,115,Dobell,575,Bateau Bay Central,J,21733,1,"CLANCY, Fiona",Australian Democrats,1
NSW,115,Dobell,575,Bateau Bay Central,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,115,Dobell,575,Bateau Bay Central,K,22218,0,K Ticket Votes,,1
NSW,115,Dobell,575,Bateau Bay Central,K,21714,1,"SAMPSON, Meg",,0
NSW,115,Dobell,575,Bateau Bay Central,K,21718,2,"HINCHCLIFFE, J",,0
NSW,115,Dobell,575,Bateau Bay Central,L,22232,0,L Ticket Votes,,3
NSW,115,Dobell,575,Bateau Bay Central,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,115,Dobell,575,Bateau Bay Central,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,115,Dobell,575,Bateau Bay Central,M,22207,0,M Ticket Votes,The Climate Sceptics,2
NSW,115,Dobell,575,Bateau Bay Central,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,0
NSW,115,Dobell,575,Bateau Bay Central,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,115,Dobell,575,Bateau Bay Central,N,22213,0,N Ticket Votes,Secular Party of Australia,1
NSW,115,Dobell,575,Bateau Bay Central,N,21229,1,"BRYCE, Ian",Secular Party of Australia,0
NSW,115,Dobell,575,Bateau Bay Central,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,115,Dobell,575,Bateau Bay Central,O,22216,0,O Ticket Votes,Shooters and Fishers,1
